# Результаты расчета кинематики КШМ
# Дата создания: Sat Oct 25 16:19:14 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.0756 м
# λ: 0.27
# Частота вращения: 5600 об/мин
# Угол развала: 90 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361
# Расчет выполнен для главного и бокового цилиндров
# Боковой цилиндр имеет угол развала: 90 град.

alpha[град],stroke_full_main[м];stroke1_main[м];stroke2_main[м];velocity_full_main[м/с];velocity1_main[м/с];velocity2_main[м/с];acceleration_full_main[м/с²];acceleration1_main[м/с²];acceleration2_main[м/с²];stroke_full_side[м];stroke1_side[м];stroke2_side[м];velocity_full_side[м/с];velocity1_side[м/с];velocity2_side[м/с];acceleration_full_side[м/с²];acceleration1_side[м/с²];acceleration2_side[м/с²]
102.000000;0.101259;0.091318;0.009765;40.841371;43.365348;-2.434364;-12030.773334;-5405.476651;-6412.819442;0.002094;0.001652;0.000441;11.655798;9.217589;2.434364;31874.981031;25430.768208;6412.819442
103.000000;0.102470;0.092606;0.009690;40.478377;43.197874;-2.623700;-12360.737728;-5848.481473;-6309.268889;0.002455;0.001938;0.000516;12.601568;9.973015;2.623700;31678.216574;25332.556403;6309.268889
104.000000;0.103669;0.093889;0.009609;40.105712;43.017242;-2.809839;-12680.676510;-6289.704792;-6198.031463;0.002844;0.002246;0.000597;13.541256;10.725403;2.809839;31466.302676;25226.628056;6198.031463
105.000000;0.104857;0.095167;0.009522;39.723674;42.823506;-2.992555;-12990.634015;-6729.012205;-6079.242691;0.003261;0.002576;0.000684;14.474413;11.474524;2.992555;31239.375570;25113.015434;6079.242691
106.000000;0.106033;0.096438;0.009431;39.332559;42.616726;-3.171626;-13290.666357;-7166.269896;-5953.047298;0.003705;0.002929;0.000775;15.400595;12.220149;3.171626;30997.581453;24991.753145;5953.047298
107.000000;0.107198;0.097703;0.009334;38.932661;42.396964;-3.346832;-13580.841064;-7601.344672;-5819.599034;0.004177;0.003303;0.000872;16.319361;12.962053;3.346832;30741.076447;24862.878125;5819.599034
108.000000;0.108351;0.098962;0.009231;38.524272;42.164288;-3.517960;-13861.236688;-8034.104005;-5679.060485;0.004676;0.003700;0.000975;17.230277;13.700007;3.517960;30470.026569;24726.429631;5679.060485
109.000000;0.109491;0.100213;0.009124;38.107683;41.918768;-3.684802;-14131.942401;-8464.416071;-5531.602876;0.005203;0.004119;0.001082;18.132911;14.433789;3.684802;30184.607682;24582.449228;5531.602876
110.000000;0.110619;0.101457;0.009012;37.683180;41.660479;-3.847155;-14393.057576;-8892.149795;-5377.405861;0.005756;0.004559;0.001194;19.026839;15.163174;3.847155;29885.005453;24430.980772;5377.405861
111.000000;0.111734;0.102693;0.008895;37.251048;41.389500;-4.004821;-14644.691353;-9317.174884;-5216.657305;0.006335;0.005021;0.001311;19.911641;15.887940;4.004821;29571.415294;24272.070403;5216.657305
112.000000;0.112836;0.103920;0.008774;36.811565;41.105913;-4.157607;-14886.962190;-9739.361870;-5049.553055;0.006941;0.005505;0.001432;20.786905;16.607867;4.157607;29244.042310;24105.766526;5049.553055
113.000000;0.113925;0.105139;0.008648;36.365011;40.809805;-4.305329;-15119.997409;-10158.582153;-4876.296703;0.007572;0.006010;0.001558;21.652224;17.322735;4.305329;28903.101227;23932.119800;4876.296703
114.000000;0.115001;0.106349;0.008518;35.911656;40.501266;-4.447804;-15343.932730;-10574.708034;-4697.099335;0.008230;0.006536;0.001688;22.507196;18.032326;4.447804;28548.816325;23751.183117;4697.099335
115.000000;0.116062;0.107550;0.008383;35.451770;40.180390;-4.584861;-15558.911799;-10987.612756;-4512.179274;0.008912;0.007083;0.001823;23.351428;18.736424;4.584861;28181.421356;23563.011594;4512.179274
