alpha_deg,P,V
181.5,90012.3,0.00123367
182,90021.8,0.00123357
182.5,90034.1,0.00123345
183,90049.1,0.0012333
183.5,90066.8,0.00123313
184,90087.3,0.00123292
184.5,90110.6,0.00123269
185,90136.5,0.00123243
185.5,90165.3,0.00123215
186,90196.8,0.00123184
186.5,90231,0.0012315
187,90268.1,0.00123113
187.5,90307.9,0.00123074
188,90350.5,0.00123032
188.5,90395.9,0.00122987
189,90444.1,0.0012294
189.5,90495.1,0.00122889
190,90548.9,0.00122836
190.5,90605.6,0.00122781
191,90665.1,0.00122722
191.5,90727.5,0.00122661
192,90792.8,0.00122597
192.5,90860.9,0.00122531
193,90932,0.00122461
193.5,91005.9,0.00122389
194,91082.8,0.00122314
194.5,91162.7,0.00122237
195,91245.5,0.00122156
195.5,91331.2,0.00122073
196,91420,0.00121987
196.5,91511.8,0.00121899
197,91606.6,0.00121807
197.5,91704.5,0.00121713
198,91805.4,0.00121616
198.5,91909.5,0.00121516
199,92016.6,0.00121414
199.5,92126.9,0.00121308
200,92240.4,0.001212
200.5,92357,0.00121089
201,92476.9,0.00120975
201.5,92599.9,0.00120859
202,92726.3,0.0012074
202.5,92855.9,0.00120617
203,92988.8,0.00120492
203.5,93125.1,0.00120365
204,93264.7,0.00120234
204.5,93407.8,0.00120101
205,93554.3,0.00119964
205.5,93704.2,0.00119825
206,93857.6,0.00119683
206.5,94014.5,0.00119538
207,94175.1,0.00119391
207.5,94339.1,0.0011924
208,94506.9,0.00119087
208.5,94678.3,0.00118931
209,94853.3,0.00118771
209.5,95032.2,0.00118609
210,95214.8,0.00118445
210.5,95401.2,0.00118277
211,95591.5,0.00118106
211.5,95785.6,0.00117933
212,95983.7,0.00117756
212.5,96185.8,0.00117577
213,96392,0.00117395
213.5,96602.2,0.00117209
214,96816.5,0.00117021
214.5,97035,0.0011683
215,97257.7,0.00116636
215.5,97484.7,0.0011644
216,97716,0.0011624
216.5,97951.6,0.00116037
217,98191.7,0.00115831
217.5,98436.3,0.00115623
218,98685.4,0.00115411
218.5,98939.1,0.00115197
219,99197.4,0.00114979
219.5,99460.4,0.00114759
220,99728.3,0.00114535
220.5,100001,0.00114309
221,100278,0.0011408
221.5,100561,0.00113847
222,100848,0.00113612
222.5,101141,0.00113374
223,101439,0.00113133
223.5,101742,0.00112888
224,102050,0.00112641
224.5,102364,0.00112391
225,102683,0.00112138
225.5,103008,0.00111881
226,103338,0.00111622
226.5,103674,0.0011136
227,104015,0.00111095
227.5,104363,0.00110827
228,104717,0.00110555
228.5,105076,0.00110281
229,105442,0.00110004
229.5,105814,0.00109724
230,106192,0.0010944
230.5,106576,0.00109154
231,106967,0.00108865
231.5,107365,0.00108572
232,107769,0.00108277
232.5,108180,0.00107979
233,108598,0.00107678
233.5,109023,0.00107373
234,109455,0.00107066
234.5,109894,0.00106756
235,110341,0.00106442
235.5,110795,0.00106126
236,111257,0.00105807
236.5,111726,0.00105485
237,112203,0.00105159
237.5,112688,0.00104831
238,113181,0.001045
238.5,113683,0.00104166
239,114192,0.00103829
239.5,114711,0.00103488
240,115238,0.00103145
240.5,115773,0.00102799
241,116318,0.0010245
241.5,116871,0.00102099
242,117434,0.00101744
242.5,118006,0.00101386
243,118588,0.00101025
243.5,119180,0.00100662
244,119781,0.00100295
244.5,120392,0.00099926
245,121014,0.000995537
245.5,121646,0.000991786
246,122289,0.000988007
246.5,122942,0.000984199
247,123606,0.000980363
247.5,124282,0.000976498
248,124969,0.000972605
248.5,125668,0.000968685
249,126378,0.000964736
249.5,127100,0.00096076
250,127835,0.000956757
250.5,128582,0.000952725
251,129341,0.000948667
251.5,130114,0.000944582
252,130900,0.000940469
252.5,131699,0.00093633
253,132512,0.000932164
253.5,133339,0.000927972
254,134180,0.000923754
254.5,135035,0.00091951
255,135906,0.000915239
255.5,136791,0.000910944
256,137691,0.000906622
256.5,138608,0.000902276
257,139540,0.000897904
257.5,140488,0.000893508
258,141453,0.000889087
258.5,142435,0.000884642
259,143434,0.000880173
259.5,144450,0.00087568
260,145485,0.000871163
260.5,146538,0.000866624
261,147609,0.000862061
261.5,148699,0.000857475
262,149809,0.000852867
262.5,150939,0.000848236
263,152089,0.000843584
263.5,153260,0.00083891
264,154451,0.000834214
264.5,155665,0.000829498
265,156900,0.000824761
265.5,158157,0.000820003
266,159438,0.000815225
266.5,160742,0.000810428
267,162070,0.000805611
267.5,163422,0.000800775
268,164799,0.00079592
268.5,166202,0.000791047
269,167631,0.000786156
269.5,169086,0.000781247
270,170568,0.00077632
270.5,172079,0.000771377
271,173617,0.000766417
271.5,175185,0.000761441
272,176782,0.00075645
272.5,178410,0.000751443
273,180069,0.00074642
273.5,181759,0.000741384
274,183482,0.000736333
274.5,185238,0.000731268
275,187028,0.00072619
275.5,188852,0.000721099
276,190712,0.000715995
276.5,192609,0.00071088
277,194542,0.000705753
277.5,196514,0.000700614
278,198525,0.000695466
278.5,200575,0.000690306
279,202666,0.000685137
279.5,204799,0.000679959
280,206975,0.000674772
280.5,209195,0.000669576
281,211459,0.000664373
281.5,213769,0.000659162
282,216127,0.000653945
282.5,218532,0.000648721
283,220987,0.000643491
283.5,223492,0.000638255
284,226050,0.000633015
284.5,228660,0.00062777
285,231324,0.000622522
285.5,234045,0.00061727
286,236822,0.000612015
286.5,239659,0.000606759
287,242555,0.0006015
287.5,245513,0.00059624
288,248534,0.000590979
288.5,251619,0.000585719
289,254772,0.000580458
289.5,257992,0.000575199
290,261282,0.000569941
290.5,264644,0.000564685
291,268080,0.000559432
291.5,271591,0.000554182
292,275179,0.000548935
292.5,278847,0.000543693
293,282597,0.000538456
293.5,286430,0.000533224
294,290350,0.000527999
294.5,294358,0.000522779
295,298456,0.000517567
295.5,302648,0.000512363
296,306935,0.000507167
296.5,311321,0.00050198
297,315807,0.000496802
297.5,320397,0.000491635
298,325094,0.000486478
298.5,329899,0.000481332
299,334818,0.000476198
299.5,339852,0.000471076
300,345004,0.000465968
300.5,350278,0.000460873
301,355678,0.000455792
301.5,361207,0.000450726
302,366868,0.000445675
302.5,372666,0.00044064
303,378603,0.000435621
303.5,384685,0.00043062
304,390914,0.000425637
304.5,397296,0.000420671
305,403834,0.000415725
305.5,410533,0.000410798
306,417398,0.000405891
306.5,424433,0.000401005
307,431643,0.00039614
307.5,439033,0.000391296
308,446608,0.000386475
308.5,454374,0.000381678
309,462336,0.000376903
309.5,470500,0.000372153
310,478871,0.000367427
310.5,487455,0.000362727
311,496259,0.000358053
311.5,505288,0.000353405
312,514549,0.000348784
312.5,524050,0.000344191
313,533795,0.000339625
313.5,543794,0.000335089
314,554052,0.000330582
314.5,564577,0.000326104
315,575377,0.000321657
315.5,586459,0.000317241
316,597831,0.000312856
316.5,609502,0.000308504
317,621480,0.000304184
317.5,633773,0.000299897
318,646389,0.000295644
318.5,659339,0.000291425
319,672630,0.00028724
319.5,686272,0.000283091
320,700275,0.000278978
320.5,714647,0.000274901
321,729399,0.000270861
321.5,744541,0.000266858
322,760081,0.000262893
322.5,776032,0.000258966
323,792402,0.000255078
323.5,809202,0.00025123
324,826442,0.000247421
324.5,844133,0.000243653
325,862286,0.000239925
325.5,880909,0.000236238
326,900015,0.000232594
326.5,919612,0.000228991
327,939712,0.000225432
327.5,960324,0.000221915
328,981459,0.000218442
328.5,1.00312e+06,0.000215013
329,1.02533e+06,0.000211628
329.5,1.04809e+06,0.000208288
330,1.0714e+06,0.000204994
330.5,1.09529e+06,0.000201745
331,1.11974e+06,0.000198542
331.5,1.14478e+06,0.000195386
332,1.1704e+06,0.000192277
332.5,1.19661e+06,0.000189216
333,1.22342e+06,0.000186202
333.5,1.25083e+06,0.000183236
334,1.27884e+06,0.000180319
334.5,1.30745e+06,0.000177451
335,1.33667e+06,0.000174632
335.5,1.36648e+06,0.000171863
336,1.39688e+06,0.000169144
336.5,1.42788e+06,0.000166475
337,1.45946e+06,0.000163857
337.5,1.49161e+06,0.00016129
338,1.52432e+06,0.000158775
338.5,1.55758e+06,0.000156311
339,1.59136e+06,0.000153899
339.5,1.62565e+06,0.00015154
340,1.66043e+06,0.000149233
340.5,1.69567e+06,0.00014698
341,1.73133e+06,0.000144779
341.5,1.7674e+06,0.000142632
342,1.80383e+06,0.000140539
342.5,1.84057e+06,0.0001385
343,1.8776e+06,0.000136516
343.5,1.91486e+06,0.000134586
344,1.95229e+06,0.000132711
344.5,1.98985e+06,0.000130891
345,2.02747e+06,0.000129126
345.5,2.06509e+06,0.000127417
346,2.10265e+06,0.000125764
346.5,2.14006e+06,0.000124167
347,2.17726e+06,0.000122626
347.5,2.21416e+06,0.000121142
348,2.25068e+06,0.000119714
348.5,2.28674e+06,0.000118343
349,2.32224e+06,0.000117029
349.5,2.3571e+06,0.000115773
350,2.39122e+06,0.000114573
350.5,2.4245e+06,0.000113432
351,2.45685e+06,0.000112347
351.5,2.48816e+06,0.000111321
352,2.51835e+06,0.000110353
352.5,2.5473e+06,0.000109442
353,2.57493e+06,0.00010859
353.5,2.60114e+06,0.000107796
354,2.62583e+06,0.00010706
354.5,2.64892e+06,0.000106383
355,2.67032e+06,0.000105765
355.5,2.68995e+06,0.000105205
356,2.70774e+06,0.000104704
356.5,2.7236e+06,0.000104262
357,2.73748e+06,0.000103878
357.5,2.74933e+06,0.000103554
358,2.75909e+06,0.000103288
358.5,2.76672e+06,0.000103081
359,2.7722e+06,0.000102934
359.5,2.7755e+06,0.000102845
360,5.55319e+06,0.000102816
360.5,5.55319e+06,0.000102845
361,5.55319e+06,0.000102934
361.5,5.55319e+06,0.000103081
362,5.55319e+06,0.000103288
362.5,5.55319e+06,0.000103554
363,5.55319e+06,0.000103878
363.5,5.55319e+06,0.000104262
364,5.55319e+06,0.000104704
364.5,5.55319e+06,0.000105205
365,5.55319e+06,0.000105765
365.5,5.55319e+06,0.000106383
366,5.55319e+06,0.00010706
366.5,5.55319e+06,0.000107796
367,5.55319e+06,0.00010859
367.5,5.55319e+06,0.000109442
368,5.55319e+06,0.000110353
368.5,5.55319e+06,0.000111321
369,5.55319e+06,0.000112347
369.5,5.55319e+06,0.000113432
370,5.55319e+06,0.000114573
370.5,5.55319e+06,0.000115773
371,5.55319e+06,0.000117029
