# Результаты расчёта индикаторной диаграммы P–V
# Дата: Sun Nov  2 15:20:22 2025
# --------------------------------------------
# Параметры расчёта:
# Радиус кривошипа r = 0.02 м
# Диаметр цилиндра D = 0.12 м
# Степень сжатия ε = 17
# λ = 0.3
# n1 = 1.38, n2 = 1.22
# Давления: Pa=90000 Па, Pr=110000 Па
# --------------------------------------------

V[м^3];P[Па]
0.000094;3136549.479350
0.000095;3092011.864184
0.000096;3048611.793290
0.000097;3006307.604346
0.000098;2965059.612285
0.000099;2924829.994505
0.000100;2885582.683948
0.000101;2847283.269394
0.000103;2809898.902446
0.000104;2773398.210666
0.000105;2737751.216405
0.000106;2702929.260901
0.000107;2668904.933237
0.000108;2635652.003830
0.000109;2603145.362079
0.000110;2571360.957917
0.000111;2540275.746949
0.000113;2509867.638949
0.000114;2480115.449458
0.000115;2450998.854294
0.000116;2422498.346746
0.000117;2394595.197288
0.000118;2367271.415632
0.000119;2340509.714978
0.000120;2314293.478294
0.000121;2288606.726508
0.000122;2263434.088489
0.000124;2238760.772687
0.000125;2214572.540347
0.000126;2190855.680170
0.000127;2167596.984362
0.000128;2144783.725955
0.000129;2122403.637344
0.000130;2100444.889947
0.000131;2078896.074941
0.000132;2057746.184982
0.000134;2036984.596879
0.000135;2016601.055145
0.000136;1996585.656380
0.000137;1976928.834442
0.000138;1957621.346352
0.000139;1938654.258898
0.000140;1920018.935895
0.000141;1901707.026062
0.000142;1883710.451491
0.000143;1866021.396657
0.000145;1848632.297961
0.000146;1831535.833758
0.000147;1814724.914857
0.000148;1798192.675460
0.000149;1781932.464519
0.000150;1765937.837487
0.000151;1750202.548445
0.000152;1734720.542589
0.000153;1719485.949042
0.000155;1704493.073995
0.000156;1689736.394152
0.000157;1675210.550449
0.000158;1660910.342066
0.000159;1646830.720678
0.000160;1632966.784971
0.000161;1619313.775373
0.000162;1605867.069028
0.000163;1592622.174965
0.000165;1579574.729475
0.000166;1566720.491684
0.000167;1554055.339301
0.000168;1541575.264543
0.000169;1529276.370231
0.000170;1517154.866032
0.000171;1505207.064863
0.000172;1493429.379435
