# Результаты расчета кинематики КШМ
# Дата создания: Tue Oct 21 22:38:41 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

alpha[град];stroke_full[м];stroke1[м];stroke2[м];velocity_full[м/с];velocity1[м/с];velocity2[м/с];acceleration_full[м/с²];acceleration1[м/с²];acceleration2[м/с²]
98.000000;0.025725;0.022783;0.002942;9.539609;9.955260;-0.415651;-2160.519808;-703.274726;-1457.245081
99.000000;0.026055;0.023129;0.002927;9.463340;9.929326;-0.465987;-2232.274820;-790.500498;-1441.774323
100.000000;0.026383;0.023473;0.002910;9.384613;9.900367;-0.515754;-2302.032459;-877.485475;-1424.546984
101.000000;0.026707;0.023816;0.002891;9.303499;9.868393;-0.564893;-2369.787216;-964.203162;-1405.584054
102.000000;0.027029;0.024158;0.002870;9.220068;9.833412;-0.613344;-2435.535780;-1050.627143;-1384.908637
103.000000;0.027347;0.024499;0.002848;9.134388;9.795436;-0.661048;-2499.277014;-1136.731093;-1362.545921
104.000000;0.027663;0.024838;0.002824;9.046530;9.754477;-0.707946;-2561.011937;-1222.488784;-1338.523154
105.000000;0.027975;0.025176;0.002799;8.956563;9.710546;-0.753982;-2620.743694;-1307.874092;-1312.869602
106.000000;0.028285;0.025513;0.002772;8.864557;9.663657;-0.799099;-2678.477530;-1392.861010;-1285.616521
107.000000;0.028591;0.025847;0.002744;8.770581;9.613824;-0.843243;-2734.220762;-1477.423649;-1256.797114
108.000000;0.028894;0.026180;0.002714;8.674704;9.561063;-0.886359;-2787.982743;-1561.536250;-1226.446493
109.000000;0.029193;0.026511;0.002682;8.576994;9.505389;-0.928396;-2839.774828;-1645.173192;-1194.601636
110.000000;0.029489;0.026840;0.002649;8.477520;9.446821;-0.969301;-2889.610339;-1728.308998;-1161.301341
111.000000;0.029782;0.027167;0.002615;8.376349;9.385374;-1.009025;-2937.504524;-1810.918345;-1126.586180
112.000000;0.030071;0.027492;0.002579;8.273549;9.321069;-1.047520;-2983.474514;-1892.976068;-1090.498446
113.000000;0.030357;0.027815;0.002542;8.169185;9.253924;-1.084739;-3027.539281;-1974.457173;-1053.082108
114.000000;0.030638;0.028135;0.002504;8.063325;9.183961;-1.120636;-3069.719591;-2055.336838;-1014.382752
115.000000;0.030917;0.028452;0.002464;7.956032;9.111200;-1.155168;-3110.037956;-2135.590429;-974.447527
116.000000;0.031191;0.028767;0.002423;7.847371;9.035663;-1.188292;-3148.518585;-2215.193497;-933.325088
117.000000;0.031461;0.029080;0.002382;7.737406;8.957375;-1.219969;-3185.187332;-2294.121797;-891.065535
118.000000;0.031728;0.029389;0.002339;7.626198;8.876357;-1.250159;-3220.071641;-2372.351284;-847.720357
119.000000;0.031991;0.029696;0.002295;7.513810;8.792636;-1.278826;-3253.200493;-2449.858131;-803.342362
120.000000;0.032250;0.030000;0.002250;7.400301;8.706237;-1.305936;-3284.604345;-2526.618727;-757.985618
121.000000;0.032505;0.030301;0.002204;7.285732;8.617186;-1.331454;-3314.315075;-2602.609690;-711.705385
122.000000;0.032756;0.030598;0.002158;7.170160;8.525509;-1.355349;-3342.365923;-2677.807873;-664.558049
123.000000;0.033003;0.030893;0.002110;7.053642;8.431236;-1.377594;-3368.791422;-2752.190370;-616.601052
124.000000;0.033246;0.031184;0.002062;6.936234;8.334395;-1.398160;-3393.627344;-2825.734523;-567.892820
125.000000;0.033485;0.031472;0.002013;6.817991;8.235015;-1.417023;-3416.910630;-2898.417931;-518.492699
126.000000;0.033719;0.031756;0.001964;6.698966;8.133126;-1.434159;-3438.679326;-2970.218451;-468.460875
127.000000;0.033950;0.032036;0.001913;6.579211;8.028760;-1.449548;-3458.972518;-3041.114215;-417.858303
128.000000;0.034176;0.032313;0.001863;6.458777;7.921948;-1.463171;-3477.830261;-3111.083626;-366.746635
129.000000;0.034398;0.032586;0.001812;6.337712;7.812723;-1.475012;-3495.293513;-3180.105370;-315.188143
130.000000;0.034616;0.032856;0.001760;6.216064;7.701119;-1.485055;-3511.404066;-3248.158424;-263.245643
131.000000;0.034830;0.033121;0.001709;6.093879;7.587168;-1.493289;-3526.204475;-3315.222057;-210.982418
132.000000;0.035039;0.033383;0.001657;5.971203;7.470907;-1.499704;-3539.737985;-3381.275841;-158.462144
133.000000;0.035245;0.033640;0.001605;5.848078;7.352369;-1.504291;-3552.048464;-3446.299656;-105.748808
134.000000;0.035446;0.033893;0.001552;5.724547;7.231592;-1.507046;-3563.180328;-3510.273695;-52.906633
135.000000;0.035642;0.034142;0.001500;5.600648;7.108613;-1.507964;-3573.178470;-3573.178470;-0.000000
136.000000;0.035834;0.034387;0.001448;5.476422;6.983468;-1.507046;-3582.088188;-3634.994821;52.906633
137.000000;0.036022;0.034627;0.001395;5.351904;6.856195;-1.504291;-3589.955109;-3695.703917;105.748808
138.000000;0.036206;0.034863;0.001343;5.227131;6.726835;-1.499704;-3596.825122;-3755.287265;158.462144
139.000000;0.036385;0.035094;0.001291;5.102136;6.595425;-1.493289;-3602.744299;-3813.726717;210.982418
140.000000;0.036560;0.035321;0.001240;4.976951;6.462006;-1.485055;-3607.758828;-3871.004471;263.245643
141.000000;0.036731;0.035543;0.001188;4.851607;6.326619;-1.475012;-3611.914936;-3927.103079;315.188143
