# Результаты расчета кинематики КШМ
# Дата создания: Tue Oct 21 22:38:43 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

ГЛАВНЫЙ ЦИЛИНДР:
==================================================================================================================================
|  α [град] |   S полн [м]  |   S1 [м]   |   S2 [м]   |  V полн [м/с] |   V1 [м/с]  |   V2 [м/с]  | A полн [м/с²] |  A1 [м/с²]  |  A2 [м/с²]  |
|   84.0000 |       0.0209 |     0.0179 |     0.0030 |       10.3115 |      9.9980 |      0.3135 |     -954.6365 |    528.2071 |  -1482.8436 |
|   85.0000 |       0.0212 |     0.0183 |     0.0030 |       10.2767 |     10.0148 |      0.2619 |    -1052.5216 |    440.4187 |  -1492.9402 |
|   86.0000 |       0.0216 |     0.0186 |     0.0030 |       10.2385 |     10.0286 |      0.2099 |    -1148.7219 |    352.4960 |  -1501.2179 |
|   87.0000 |       0.0219 |     0.0190 |     0.0030 |       10.1969 |     10.0393 |      0.1576 |    -1243.2006 |    264.4660 |  -1507.6666 |
|   88.0000 |       0.0223 |     0.0193 |     0.0030 |       10.1522 |     10.0470 |      0.1052 |    -1335.9230 |    176.3554 |  -1512.2784 |
|   89.0000 |       0.0227 |     0.0197 |     0.0030 |       10.1042 |     10.0516 |      0.0526 |    -1426.8566 |     88.1912 |  -1515.0477 |
|   90.0000 |       0.0230 |     0.0200 |     0.0030 |       10.0531 |     10.0531 |      0.0000 |    -1515.9712 |      0.0000 |  -1515.9712 |
|   91.0000 |       0.0233 |     0.0203 |     0.0030 |        9.9989 |     10.0516 |     -0.0526 |    -1603.2389 |    -88.1912 |  -1515.0477 |
|   92.0000 |       0.0237 |     0.0207 |     0.0030 |        9.9418 |     10.0470 |     -0.1052 |    -1688.6339 |   -176.3554 |  -1512.2784 |
|   93.0000 |       0.0240 |     0.0210 |     0.0030 |        9.8817 |     10.0393 |     -0.1576 |    -1772.1326 |   -264.4660 |  -1507.6666 |
|   94.0000 |       0.0244 |     0.0214 |     0.0030 |        9.8187 |     10.0286 |     -0.2099 |    -1853.7139 |   -352.4960 |  -1501.2179 |
|   95.0000 |       0.0247 |     0.0217 |     0.0030 |        9.7530 |     10.0148 |     -0.2619 |    -1933.3589 |   -440.4187 |  -1492.9402 |
|   96.0000 |       0.0251 |     0.0221 |     0.0030 |        9.6845 |      9.9980 |     -0.3135 |    -2011.0508 |   -528.2071 |  -1482.8436 |
|   97.0000 |       0.0254 |     0.0224 |     0.0030 |        9.6134 |      9.9782 |     -0.3648 |    -2086.7751 |   -615.8347 |  -1470.9404 |
|   98.0000 |       0.0257 |     0.0228 |     0.0029 |        9.5396 |      9.9553 |     -0.4157 |    -2160.5198 |   -703.2747 |  -1457.2451 |
|   99.0000 |       0.0261 |     0.0231 |     0.0029 |        9.4633 |      9.9293 |     -0.4660 |    -2232.2748 |   -790.5005 |  -1441.7743 |
|  100.0000 |       0.0264 |     0.0235 |     0.0029 |        9.3846 |      9.9004 |     -0.5158 |    -2302.0325 |   -877.4855 |  -1424.5470 |
|  101.0000 |       0.0267 |     0.0238 |     0.0029 |        9.3035 |      9.8684 |     -0.5649 |    -2369.7872 |   -964.2032 |  -1405.5841 |
|  102.0000 |       0.0270 |     0.0242 |     0.0029 |        9.2201 |      9.8334 |     -0.6133 |    -2435.5358 |  -1050.6271 |  -1384.9086 |
