V,P
0.00104226,114900
0.00104036,115190
0.00103846,115482
0.00103655,115774
0.00103465,116069
0.00103274,116364
0.00103084,116661
0.00102894,116959
0.00102703,117258
0.00102513,117559
0.00102323,117860
0.00102132,118164
0.00101942,118468
0.00101751,118774
0.00101561,119082
0.00101371,119391
0.0010118,119701
0.0010099,120012
0.00100799,120325
0.00100609,120639
0.00100419,120955
0.00100228,121272
0.00100038,121591
0.000998476,121911
0.000996572,122233
0.000994668,122555
0.000992764,122880
0.00099086,123206
0.000988957,123533
0.000987053,123862
0.000985149,124193
0.000983245,124525
0.000981341,124858
0.000979437,125193
0.000977534,125530
0.00097563,125868
0.000973726,126208
0.000971822,126549
0.000969918,126892
0.000968014,127237
0.000966111,127583
0.000964207,127930
0.000962303,128280
0.000960399,128631
0.000958495,128984
0.000956591,129338
0.000954688,129694
0.000952784,130052
0.00095088,130411
0.000948976,130773
0.000947072,131135
0.000945168,131500
0.000943265,131866
0.000941361,132235
0.000939457,132605
0.000937553,132976
0.000935649,133350
0.000933745,133725
0.000931841,134102
0.000929938,134481
0.000928034,134862
0.00092613,135245
0.000924226,135630
0.000922322,136016
0.000920418,136405
0.000918515,136795
0.000916611,137187
0.000914707,137581
0.000912803,137977
0.000910899,138376
0.000908995,138776
0.000907092,139178
0.000905188,139582
0.000903284,139988
0.00090138,140396
0.000899476,140807
0.000897572,141219
0.000895669,141633
0.000893765,142050
0.000891861,142468
0.000889957,142889
0.000888053,143312
0.000886149,143737
0.000884246,144164
0.000882342,144594
0.000880438,145026
0.000878534,145459
0.00087663,145896
0.000874726,146334
0.000872823,146775
0.000870919,147218
0.000869015,147663
0.000867111,148110
0.000865207,148560
0.000863303,149013
0.0008614,149467
0.000859496,149924
0.000857592,150384
0.000855688,150846
0.000853784,151310
0.00085188,151777
0.000849977,152246
0.000848073,152718
0.000846169,153193
0.000844265,153670
0.000842361,154149
0.000840457,154631
0.000838553,155116
0.00083665,155603
0.000834746,156093
0.000832842,156586
0.000830938,157081
0.000829034,157579
0.00082713,158080
0.000825227,158583
0.000823323,159090
0.000821419,159599
0.000819515,160111
0.000817611,160625
0.000815707,161143
0.000813804,161663
0.0008119,162187
0.000809996,162713
0.000808092,163242
0.000806188,163775
0.000804284,164310
0.000802381,164848
0.000800477,165389
0.000798573,165934
0.000796669,166481
0.000794765,167032
0.000792861,167586
0.000790958,168142
0.000789054,168703
0.00078715,169266
0.000785246,169832
0.000783342,170402
0.000781438,170976
0.000779535,171552
0.000777631,172132
0.000775727,172715
0.000773823,173302
0.000771919,173892
0.000770015,174486
0.000768112,175083
0.000766208,175683
0.000764304,176288
0.0007624,176895
0.000760496,177507
0.000758592,178122
0.000756689,178741
0.000754785,179363
0.000752881,179989
0.000750977,180619
0.000749073,181253
0.000747169,181891
0.000745265,182532
0.000743362,183178
0.000741458,183827
0.000739554,184480
0.00073765,185138
0.000735746,185799
0.000733842,186465
0.000731939,187134
0.000730035,187808
0.000728131,188486
0.000726227,189168
0.000724323,189855
0.000722419,190546
0.000720516,191241
0.000718612,191940
0.000716708,192644
0.000714804,193353
0.0007129,194066
0.000710996,194783
0.000709093,195505
0.000707189,196232
0.000705285,196963
0.000703381,197699
0.000701477,198440
0.000699573,199186
0.00069767,199936
0.000695766,200692
0.000693862,201452
0.000691958,202217
0.000690054,202988
0.00068815,203763
0.000686247,204544
0.000684343,205329
0.000682439,206120
0.000680535,206916
0.000678631,207718
0.000676727,208525
0.000674824,209337
0.00067292,210155
0.000671016,210978
0.000669112,211807
0.000667208,212641
0.000665304,213482
0.000663401,214328
0.000661497,215179
0.000659593,216037
0.000657689,216900
0.000655785,217770
0.000653881,218645
0.000651978,219527
0.000650074,220415
0.00064817,221309
0.000646266,222209
0.000644362,223115
0.000642458,224028
0.000640554,224948
0.000638651,225873
0.000636747,226806
0.000634843,227745
0.000632939,228691
0.000631035,229644
0.000629131,230603
0.000627228,231570
0.000625324,232543
0.00062342,233524
0.000621516,234512
0.000619612,235507
0.000617708,236509
0.000615805,237518
0.000613901,238536
0.000611997,239560
0.000610093,240592
0.000608189,241632
0.000606285,242680
0.000604382,243736
0.000602478,244799
0.000600574,245871
0.00059867,246950
0.000596766,248038
0.000594862,249135
0.000592959,250239
0.000591055,251352
0.000589151,252474
0.000587247,253604
0.000585343,254743
0.000583439,255891
0.000581536,257048
0.000579632,258213
0.000577728,259388
0.000575824,260573
0.00057392,261766
0.000572016,262969
0.000570113,264182
0.000568209,265404
0.000566305,266636
0.000564401,267878
0.000562497,269130
0.000560593,270392
0.00055869,271665
0.000556786,272948
0.000554882,274241
0.000552978,275545
0.000551074,276859
0.00054917,278185
0.000547266,279521
0.000545363,280868
0.000543459,282227
0.000541555,283597
0.000539651,284979
0.000537747,286372
0.000535843,287777
0.00053394,289194
0.000532036,290623
0.000530132,292065
0.000528228,293518
0.000526324,294984
0.00052442,296463
0.000522517,297955
0.000520613,299460
0.000518709,300977
0.000516805,302509
0.000514901,304053
0.000512997,305612
0.000511094,307184
0.00050919,308770
0.000507286,310370
0.000505382,311985
0.000503478,313614
0.000501574,315258
0.000499671,316917
0.000497767,318591
0.000495863,320280
0.000493959,321985
0.000492055,323705
0.000490151,325442
0.000488248,327194
0.000486344,328963
0.00048444,330748
0.000482536,332551
0.000480632,334370
0.000478728,336206
0.000476825,338060
0.000474921,339932
0.000473017,341821
0.000471113,343729
0.000469209,345655
0.000467305,347600
0.000465402,349564
0.000463498,351547
0.000461594,353549
0.00045969,355571
0.000457786,357614
0.000455882,359676
0.000453978,361760
0.000452075,363864
0.000450171,365989
0.000448267,368136
0.000446363,370304
0.000444459,372495
0.000442555,374708
0.000440652,376944
0.000438748,379203
0.000436844,381486
0.00043494,383792
0.000433036,386123
0.000431132,388478
0.000429229,390857
0.000427325,393263
0.000425421,395693
0.000423517,398150
0.000421613,400633
0.000419709,403143
0.000417806,405681
0.000415902,408246
0.000413998,410839
0.000412094,413460
0.00041019,416111
0.000408286,418791
0.000406383,421501
0.000404479,424241
0.000402575,427012
0.000400671,429815
0.000398767,432649
0.000396863,435516
0.00039496,438416
0.000393056,441349
0.000391152,444316
0.000389248,447318
0.000387344,450355
0.00038544,453427
0.000383537,456536
0.000381633,459682
0.000379729,462866
0.000377825,466088
0.000375921,469348
0.000374017,472648
0.000372114,475989
0.00037021,479370
0.000368306,482793
0.000366402,486258
0.000364498,489767
0.000362594,493319
0.000360691,496916
0.000358787,500558
0.000356883,504247
0.000354979,507983
0.000353075,511767
0.000351171,515599
0.000349267,519482
0.000347364,523415
0.00034546,527400
0.000343556,531437
0.000341652,535528
0.000339748,539674
0.000337844,543876
0.000335941,548134
0.000334037,552449
0.000332133,556824
0.000330229,561259
0.000328325,565755
0.000326421,570314
0.000324518,574937
0.000322614,579624
0.00032071,584378
0.000318806,589199
0.000316902,594089
0.000314998,599050
0.000313095,604083
0.000311191,609189
0.000309287,614370
0.000307383,619627
0.000305479,624962
0.000303575,630378
0.000301672,635874
0.000299768,641454
0.000297864,647119
0.00029596,652870
0.000294056,658711
0.000292152,664642
0.000290249,670666
0.000288345,676784
0.000286441,683000
0.000284537,689314
0.000282633,695730
0.000280729,702250
0.000278826,708875
0.000276922,715609
0.000275018,722455
0.000273114,729414
0.00027121,736489
0.000269306,743684
0.000267403,751001
0.000265499,758442
0.000263595,766012
0.000261691,773713
0.000259787,781549
0.000257883,789523
0.000255979,797638
0.000254076,805897
0.000252172,814306
0.000250268,822867
0.000248364,831584
0.00024646,840462
0.000244556,849504
0.000242653,858716
0.000240749,868101
0.000238845,877664
0.000236941,887411
0.000235037,897346
0.000233133,907474
0.00023123,917801
