# Результаты расчета кинематики КШМ
# Дата создания: Sat Nov 08 18:34:08 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

alpha[град];stroke_full[м];stroke1[м];stroke2[м];velocity_full[м/с];velocity1[м/с];velocity2[м/с];acceleration_full[м/с²];acceleration1[м/с²];acceleration2[м/с²];betta_rod[рад];omega_rod[рад/с];eps_rod[рад/с²]
65.000000;0.014059;0.011548;0.002464;10.311589;9.111200;1.155168;1145.456263;2135.590429;-974.447527;15.776903;66.224150;-67504.405431
66.000000;0.014418;0.011865;0.002504;10.349212;9.183961;1.120636;1021.746703;2055.336838;-1014.382752;15.906221;63.776337;-68130.699580
67.000000;0.014778;0.012185;0.002542;10.382551;9.253924;1.084739;898.648266;1974.457173;-1053.082108;16.030645;61.304755;-68735.091475
68.000000;0.015139;0.012508;0.002579;10.411626;9.321069;1.047520;776.246942;1892.976068;-1090.498446;16.150129;58.810221;-69317.163576
69.000000;0.015501;0.012833;0.002615;10.436466;9.385374;1.009025;654.627428;1810.918345;-1126.586180;16.264629;56.293574;-69876.508136
70.000000;0.015863;0.013160;0.002649;10.457097;9.446821;0.969301;533.872998;1728.308998;-1161.301341;16.374100;53.755672;-70412.728085
71.000000;0.016227;0.013489;0.002682;10.473551;9.505389;0.928396;414.065373;1645.173192;-1194.601636;16.478502;51.197391;-70925.437905
72.000000;0.016591;0.013820;0.002714;10.485863;9.561063;0.886359;295.284584;1561.536250;-1226.446493;16.577795;48.619626;-71414.264489
73.000000;0.016955;0.014153;0.002744;10.494070;9.613824;0.843243;177.608847;1477.423649;-1256.797114;16.671941;46.023291;-71878.847996
74.000000;0.017319;0.014487;0.002772;10.498211;9.663657;0.799099;61.114436;1392.861010;-1285.616521;16.760905;43.409314;-72318.842679
75.000000;0.017684;0.014824;0.002799;10.498328;9.710546;0.753982;-54.124439;1307.874092;-1312.869602;16.844651;40.778642;-72733.917695
76.000000;0.018048;0.015162;0.002824;10.494468;9.754477;0.707946;-168.035757;1222.488784;-1338.523154;16.923147;38.132238;-73123.757897
77.000000;0.018413;0.015501;0.002848;10.486675;9.795436;0.661048;-280.549797;1136.731093;-1362.545921;16.996364;35.471079;-73488.064589
78.000000;0.018777;0.015842;0.002870;10.475002;9.833412;0.613344;-391.599252;1050.627143;-1384.908637;17.064273;32.796156;-73826.556253
79.000000;0.019140;0.016184;0.002891;10.459499;9.868393;0.564893;-501.119335;964.203162;-1405.584054;17.126847;30.108475;-74138.969248
80.000000;0.019503;0.016527;0.002910;10.440220;9.900367;0.515754;-609.047882;877.485475;-1424.546984;17.184063;27.409053;-74425.058460
81.000000;0.019865;0.016871;0.002927;10.417223;9.929326;0.465987;-715.325446;790.500498;-1441.774323;17.235898;24.698918;-74684.597924
82.000000;0.020226;0.017217;0.002942;10.390565;9.955260;0.415651;-819.895389;703.274726;-1457.245081;17.282331;21.979112;-74917.381393
83.000000;0.020587;0.017563;0.002955;10.360306;9.978162;0.364810;-922.703962;615.834731;-1470.940411;17.323344;19.250683;-75123.222864
84.000000;0.020946;0.017909;0.002967;10.326509;9.998025;0.313523;-1023.700384;528.207146;-1482.843627;17.358922;16.514691;-75301.957063
85.000000;0.021304;0.018257;0.002977;10.289237;10.014841;0.261855;-1122.836910;440.418664;-1492.940227;17.389049;13.772201;-75453.439863
86.000000;0.021660;0.018605;0.002985;10.248556;10.028608;0.209868;-1220.068892;352.496026;-1501.217908;17.413716;11.024286;-75577.548667
87.000000;0.022015;0.018953;0.002992;10.204533;10.039319;0.157625;-1315.354836;264.466014;-1507.666587;17.432911;8.272024;-75674.182727
88.000000;0.022369;0.019302;0.002996;10.157235;10.046972;0.105190;-1408.656443;176.355444;-1512.278406;17.446627;5.516497;-75743.263403
89.000000;0.022721;0.019651;0.002999;10.106733;10.051565;0.052627;-1499.938650;88.191154;-1515.047747;17.454859;2.758793;-75784.734378
90.000000;0.023071;0.020000;0.003000;10.053096;10.053096;0.000000;-1589.169660;0.000000;-1515.971236;17.457603;0.000000;-75798.561800
91.000000;0.023419;0.020349;0.002999;9.996398;10.051565;-0.052627;-1676.320958;-88.191154;-1515.047747;17.454859;-2.758793;-75784.734378
92.000000;0.023765;0.020698;0.002996;9.936710;10.046972;-0.105190;-1761.367331;-176.355444;-1512.278406;17.446627;-5.516497;-75743.263403
93.000000;0.024109;0.021047;0.002992;9.874105;10.039319;-0.157625;-1844.286865;-264.466014;-1507.666587;17.432911;-8.272024;-75674.182727
94.000000;0.024451;0.021395;0.002985;9.808659;10.028608;-0.209868;-1925.060944;-352.496026;-1501.217908;17.413716;-11.024286;-75577.548667
95.000000;0.024790;0.021743;0.002977;9.740446;10.014841;-0.261855;-2003.674237;-440.418664;-1492.940227;17.389049;-13.772201;-75453.439863
96.000000;0.025127;0.022091;0.002967;9.669540;9.998025;-0.313523;-2080.114675;-528.207146;-1482.843627;17.358922;-16.514691;-75301.957063
97.000000;0.025461;0.022437;0.002955;9.596018;9.978162;-0.364810;-2154.373423;-615.834731;-1470.940411;17.323344;-19.250683;-75123.222864
98.000000;0.025793;0.022783;0.002942;9.519956;9.955260;-0.415651;-2226.444842;-703.274726;-1457.245081;17.282331;-21.979112;-74917.381393
