# Результаты расчета кинематики КШМ
# Дата создания: Sat Oct 25 23:52:18 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.0756 м
# λ: 0.27
# Частота вращения: 5600 об/мин
# Угол развала: 90 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361
# Расчет выполнен для главного и бокового цилиндров
# Боковой цилиндр имеет угол развала: 90 град.

ГЛАВНЫЙ ЦИЛИНДР:
==================================================================================================================================
|  α [град] |   S полн [м]  |   S1 [м]   |   S2 [м]   |  V полн [м/с] |   V1 [м/с]  |   V2 [м/с]  | A полн [м/с²] |  A1 [м/с²]  |  A2 [м/с²]  |
|   47.0000 |       0.0296 |     0.0240 |     0.0055 |       38.5144 |     32.4239 |      5.9705 |    17366.8447 |  17731.2117 |   -489.6699 |
|   48.0000 |       0.0307 |     0.0250 |     0.0056 |       39.0226 |     32.9467 |      5.9523 |    16782.2545 |  17396.6642 |   -733.7590 |
|   49.0000 |       0.0319 |     0.0260 |     0.0058 |       39.5133 |     33.4594 |      5.9269 |    16192.6224 |  17056.8175 |   -976.9541 |
|   50.0000 |       0.0331 |     0.0270 |     0.0060 |       39.9864 |     33.9619 |      5.8942 |    15598.3618 |  16711.7751 |  -1218.9589 |
|   51.0000 |       0.0343 |     0.0280 |     0.0062 |       40.4417 |     34.4541 |      5.8543 |    14999.8894 |  16361.6421 |  -1459.4787 |
|   52.0000 |       0.0355 |     0.0291 |     0.0063 |       40.8792 |     34.9358 |      5.8073 |    14397.6249 |  16006.5253 |  -1698.2203 |
|   53.0000 |       0.0367 |     0.0301 |     0.0065 |       41.2987 |     35.4068 |      5.7533 |    13791.9901 |  15646.5326 |  -1934.8929 |
|   54.0000 |       0.0379 |     0.0312 |     0.0067 |       41.7001 |     35.8671 |      5.6922 |    13183.4091 |  15281.7739 |  -2169.2081 |
|   55.0000 |       0.0392 |     0.0322 |     0.0068 |       42.0834 |     36.3164 |      5.6242 |    12572.3074 |  14912.3603 |  -2400.8804 |
|   56.0000 |       0.0404 |     0.0333 |     0.0070 |       42.4485 |     36.7547 |      5.5493 |    11959.1114 |  14538.4041 |  -2629.6277 |
|   57.0000 |       0.0417 |     0.0344 |     0.0072 |       42.7952 |     37.1818 |      5.4677 |    11344.2482 |  14160.0195 |  -2855.1712 |
|   58.0000 |       0.0430 |     0.0355 |     0.0073 |       43.1237 |     37.5975 |      5.3794 |    10728.1447 |  13777.3215 |  -3077.2360 |
|   59.0000 |       0.0443 |     0.0367 |     0.0075 |       43.4338 |     38.0018 |      5.2845 |    10111.2273 |  13390.4269 |  -3295.5518 |
|   60.0000 |       0.0456 |     0.0378 |     0.0077 |       43.7255 |     38.3945 |      5.1833 |     9493.9216 |  12999.4533 |  -3509.8524 |
|   61.0000 |       0.0469 |     0.0389 |     0.0078 |       43.9989 |     38.7755 |      5.0757 |     8876.6512 |  12604.5201 |  -3719.8768 |
|   62.0000 |       0.0482 |     0.0401 |     0.0080 |       44.2539 |     39.1447 |      4.9619 |     8259.8380 |  12205.7474 |  -3925.3691 |
|   63.0000 |       0.0495 |     0.0413 |     0.0081 |       44.4906 |     39.5020 |      4.8421 |     7643.9008 |  11803.2566 |  -4126.0790 |
|   64.0000 |       0.0508 |     0.0425 |     0.0082 |       44.7089 |     39.8473 |      4.7163 |     7029.2554 |  11397.1705 |  -4321.7618 |
|   65.0000 |       0.0522 |     0.0437 |     0.0084 |       44.9090 |     40.1804 |      4.5849 |     6416.3137 |  10987.6128 |  -4512.1793 |
|   66.0000 |       0.0535 |     0.0449 |     0.0085 |       45.0909 |     40.5013 |      4.4478 |     5805.4833 |  10574.7080 |  -4697.0993 |
|   67.0000 |       0.0548 |     0.0461 |     0.0086 |       45.2546 |     40.8098 |      4.3053 |     5197.1669 |  10158.5822 |  -4876.2967 |
|   68.0000 |       0.0562 |     0.0473 |     0.0088 |       45.4003 |     41.1059 |      4.1576 |     4591.7616 |   9739.3619 |  -5049.5531 |
|   69.0000 |       0.0575 |     0.0485 |     0.0089 |       45.5280 |     41.3895 |      4.0048 |     3989.6584 |   9317.1749 |  -5216.6573 |
|   70.0000 |       0.0589 |     0.0497 |     0.0090 |       45.6378 |     41.6605 |      3.8472 |     3391.2420 |   8892.1498 |  -5377.4059 |
|   71.0000 |       0.0603 |     0.0510 |     0.0091 |       45.7299 |     41.9188 |      3.6848 |     2796.8897 |   8464.4161 |  -5531.6029 |
|   72.0000 |       0.0616 |     0.0522 |     0.0092 |       45.8043 |     42.1643 |      3.5180 |     2206.9713 |   8034.1040 |  -5679.0605 |
|   73.0000 |       0.0630 |     0.0535 |     0.0093 |       45.8613 |     42.3970 |      3.3468 |     1621.8483 |   7601.3447 |  -5819.5990 |
|   74.0000 |       0.0644 |     0.0548 |     0.0094 |       45.9009 |     42.6167 |      3.1716 |     1041.8734 |   7166.2699 |  -5953.0473 |
|   75.0000 |       0.0657 |     0.0560 |     0.0095 |       45.9233 |     42.8235 |      2.9926 |      467.3904 |   6729.0122 |  -6079.2427 |
|   76.0000 |       0.0671 |     0.0573 |     0.0096 |       45.9288 |     43.0172 |      2.8098 |     -101.2669 |   6289.7048 |  -6198.0315 |
|   77.0000 |       0.0685 |     0.0586 |     0.0097 |       45.9174 |     43.1979 |      2.6237 |     -663.7748 |   5848.4815 |  -6309.2689 |
|   78.0000 |       0.0698 |     0.0599 |     0.0098 |       45.8893 |     43.3653 |      2.4344 |    -1219.8200 |   5405.4767 |  -6412.8194 |
|   79.0000 |       0.0712 |     0.0612 |     0.0098 |       45.8448 |     43.5196 |      2.2421 |    -1769.1006 |   4960.8253 |  -6508.5570 |
|   80.0000 |       0.0726 |     0.0625 |     0.0099 |       45.7841 |     43.6606 |      2.0470 |    -2311.3258 |   4514.6628 |  -6596.3648 |
|   81.0000 |       0.0739 |     0.0638 |     0.0100 |       45.7073 |     43.7883 |      1.8495 |    -2846.2168 |   4067.1251 |  -6676.1360 |
|   82.0000 |       0.0753 |     0.0651 |     0.0100 |       45.6147 |     43.9027 |      1.6497 |    -3373.5071 |   3618.3485 |  -6747.7733 |
|   83.0000 |       0.0766 |     0.0664 |     0.0101 |       45.5066 |     44.0037 |      1.4479 |    -3892.9426 |   3168.4697 |  -6811.1896 |
|   84.0000 |       0.0780 |     0.0677 |     0.0101 |       45.3831 |     44.0913 |      1.2444 |    -4404.2819 |   2717.6258 |  -6866.3074 |
|   85.0000 |       0.0793 |     0.0690 |     0.0101 |       45.2445 |     44.1655 |      1.0393 |    -4907.2970 |   2265.9540 |  -6913.0597 |
|   86.0000 |       0.0807 |     0.0703 |     0.0102 |       45.0911 |     44.2262 |      0.8330 |    -5401.7730 |   1813.5921 |  -6951.3895 |
|   87.0000 |       0.0820 |     0.0716 |     0.0102 |       44.9231 |     44.2734 |      0.6256 |    -5887.5089 |   1360.6776 |  -6981.2501 |
|   88.0000 |       0.0833 |     0.0730 |     0.0102 |       44.7407 |     44.3071 |      0.4175 |    -6364.3170 |    907.3488 |  -7002.6052 |
|   89.0000 |       0.0847 |     0.0743 |     0.0102 |       44.5443 |     44.3274 |      0.2089 |    -6832.0241 |    453.7435 |  -7015.4286 |
|   90.0000 |       0.0860 |     0.0756 |     0.0102 |       44.3342 |     44.3342 |      0.0000 |    -7290.4705 |      0.0000 |  -7019.7048 |
|   91.0000 |       0.0873 |     0.0769 |     0.0102 |       44.1105 |     44.3274 |     -0.2089 |    -7739.5111 |   -453.7435 |  -7015.4286 |
|   92.0000 |       0.0886 |     0.0782 |     0.0102 |       43.8736 |     44.3071 |     -0.4175 |    -8179.0146 |   -907.3488 |  -7002.6052 |
|   93.0000 |       0.0899 |     0.0796 |     0.0102 |       43.6237 |     44.2734 |     -0.6256 |    -8608.8641 |  -1360.6776 |  -6981.2501 |
|   94.0000 |       0.0912 |     0.0809 |     0.0102 |       43.3612 |     44.2262 |     -0.8330 |    -9028.9571 |  -1813.5921 |  -6951.3895 |
|   95.0000 |       0.0925 |     0.0822 |     0.0101 |       43.0864 |     44.1655 |     -1.0393 |    -9439.2050 |  -2265.9540 |  -6913.0597 |
|   96.0000 |       0.0938 |     0.0835 |     0.0101 |       42.7995 |     44.0913 |     -1.2444 |    -9839.5334 |  -2717.6258 |  -6866.3074 |
|   97.0000 |       0.0951 |     0.0848 |     0.0101 |       42.5008 |     44.0037 |     -1.4479 |   -10229.8819 |  -3168.4697 |  -6811.1896 |
|   98.0000 |       0.0963 |     0.0861 |     0.0100 |       42.1906 |     43.9027 |     -1.6497 |   -10610.2041 |  -3618.3485 |  -6747.7733 |
|   99.0000 |       0.0976 |     0.0874 |     0.0100 |       41.8693 |     43.7883 |     -1.8495 |   -10980.4670 |  -4067.1251 |  -6676.1360 |
|  100.0000 |       0.0988 |     0.0887 |     0.0099 |       41.5371 |     43.6606 |     -2.0470 |   -11340.6513 |  -4514.6628 |  -6596.3648 |
|  101.0000 |       0.1000 |     0.0900 |     0.0098 |       41.1944 |     43.5196 |     -2.2421 |   -11690.7511 |  -4960.8253 |  -6508.5570 |
|  102.0000 |       0.1013 |     0.0913 |     0.0098 |       40.8414 |     43.3653 |     -2.4344 |   -12030.7733 |  -5405.4767 |  -6412.8194 |
|  103.0000 |       0.1025 |     0.0926 |     0.0097 |       40.4784 |     43.1979 |     -2.6237 |   -12360.7377 |  -5848.4815 |  -6309.2689 |
|  104.0000 |       0.1037 |     0.0939 |     0.0096 |       40.1057 |     43.0172 |     -2.8098 |   -12680.6765 |  -6289.7048 |  -6198.0315 |
|  105.0000 |       0.1049 |     0.0952 |     0.0095 |       39.7237 |     42.8235 |     -2.9926 |   -12990.6340 |  -6729.0122 |  -6079.2427 |
|  106.0000 |       0.1060 |     0.0964 |     0.0094 |       39.3326 |     42.6167 |     -3.1716 |   -13290.6664 |  -7166.2699 |  -5953.0473 |
|  107.0000 |       0.1072 |     0.0977 |     0.0093 |       38.9327 |     42.3970 |     -3.3468 |   -13580.8411 |  -7601.3447 |  -5819.5990 |
|  108.0000 |       0.1084 |     0.0990 |     0.0092 |       38.5243 |     42.1643 |     -3.5180 |   -13861.2367 |  -8034.1040 |  -5679.0605 |
|  109.0000 |       0.1095 |     0.1002 |     0.0091 |       38.1077 |     41.9188 |     -3.6848 |   -14131.9424 |  -8464.4161 |  -5531.6029 |
|  110.0000 |       0.1106 |     0.1015 |     0.0090 |       37.6832 |     41.6605 |     -3.8472 |   -14393.0576 |  -8892.1498 |  -5377.4059 |
|  111.0000 |       0.1117 |     0.1027 |     0.0089 |       37.2510 |     41.3895 |     -4.0048 |   -14644.6914 |  -9317.1749 |  -5216.6573 |
|  112.0000 |       0.1128 |     0.1039 |     0.0088 |       36.8116 |     41.1059 |     -4.1576 |   -14886.9622 |  -9739.3619 |  -5049.5531 |
|  113.0000 |       0.1139 |     0.1051 |     0.0086 |       36.3650 |     40.8098 |     -4.3053 |   -15119.9974 | -10158.5822 |  -4876.2967 |
|  114.0000 |       0.1150 |     0.1063 |     0.0085 |       35.9117 |     40.5013 |     -4.4478 |   -15343.9327 | -10574.7080 |  -4697.0993 |
|  115.0000 |       0.1161 |     0.1075 |     0.0084 |       35.4518 |     40.1804 |     -4.5849 |   -15558.9118 | -10987.6128 |  -4512.1793 |
|  116.0000 |       0.1171 |     0.1087 |     0.0082 |       34.9856 |     39.8473 |     -4.7163 |   -15765.0857 | -11397.1705 |  -4321.7618 |
|  117.0000 |       0.1181 |     0.1099 |     0.0081 |       34.5135 |     39.5020 |     -4.8421 |   -15962.6125 | -11803.2566 |  -4126.0790 |
|  118.0000 |       0.1192 |     0.1111 |     0.0080 |       34.0355 |     39.1447 |     -4.9619 |   -16151.6567 | -12205.7474 |  -3925.3691 |
|  119.0000 |       0.1202 |     0.1123 |     0.0078 |       33.5521 |     38.7755 |     -5.0757 |   -16332.3889 | -12604.5201 |  -3719.8768 |
|  120.0000 |       0.1212 |     0.1134 |     0.0077 |       33.0635 |     38.3945 |     -5.1833 |   -16504.9851 | -12999.4533 |  -3509.8524 |
|  121.0000 |       0.1221 |     0.1145 |     0.0075 |       32.5698 |     38.0018 |     -5.2845 |   -16669.6264 | -13390.4269 |  -3295.5518 |
|  122.0000 |       0.1231 |     0.1157 |     0.0073 |       32.0713 |     37.5975 |     -5.3794 |   -16826.4983 | -13777.3215 |  -3077.2360 |
|  123.0000 |       0.1240 |     0.1168 |     0.0072 |       31.5683 |     37.1818 |     -5.4677 |   -16975.7907 | -14160.0195 |  -2855.1712 |
|  124.0000 |       0.1250 |     0.1179 |     0.0070 |       31.0609 |     36.7547 |     -5.5493 |   -17117.6968 | -14538.4041 |  -2629.6277 |
|  125.0000 |       0.1259 |     0.1190 |     0.0068 |       30.5494 |     36.3164 |     -5.6242 |   -17252.4131 | -14912.3603 |  -2400.8804 |
|  126.0000 |       0.1268 |     0.1200 |     0.0067 |       30.0340 |     35.8671 |     -5.6922 |   -17380.1387 | -15281.7739 |  -2169.2081 |
|  127.0000 |       0.1277 |     0.1211 |     0.0065 |       29.5150 |     35.4068 |     -5.7533 |   -17501.0752 | -15646.5326 |  -1934.8929 |
|  128.0000 |       0.1286 |     0.1221 |     0.0063 |       28.9924 |     34.9358 |     -5.8073 |   -17615.4256 | -16006.5253 |  -1698.2203 |
|  129.0000 |       0.1294 |     0.1232 |     0.0062 |       28.4665 |     34.4541 |     -5.8543 |   -17723.3948 | -16361.6421 |  -1459.4787 |
|  130.0000 |       0.1302 |     0.1242 |     0.0060 |       27.9375 |     33.9619 |     -5.8942 |   -17825.1884 | -16711.7751 |  -1218.9589 |
|  131.0000 |       0.1311 |     0.1252 |     0.0058 |       27.4055 |     33.4594 |     -5.9269 |   -17921.0126 | -17056.8175 |   -976.9541 |
|  132.0000 |       0.1319 |     0.1262 |     0.0056 |       26.8708 |     32.9467 |     -5.9523 |   -18011.0740 | -17396.6642 |   -733.7590 |
|  133.0000 |       0.1327 |     0.1272 |     0.0055 |       26.3335 |     32.4239 |     -5.9705 |   -18095.5788 | -17731.2117 |   -489.6699 |
|  134.0000 |       0.1334 |     0.1281 |     0.0053 |       25.7937 |     31.8913 |     -5.9815 |   -18174.7330 | -18060.3582 |   -244.9842 |
|  135.0000 |       0.1342 |     0.1291 |     0.0051 |       25.2517 |     31.3490 |     -5.9851 |   -18248.7415 | -18384.0032 |     -0.0000 |
|  136.0000 |       0.1350 |     0.1300 |     0.0049 |       24.7076 |     30.7971 |     -5.9815 |   -18317.8081 | -18702.0484 |    244.9842 |
