# Результаты расчета кинематики КШМ
# Дата создания: Sun Oct 26 22:47:46 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

alpha[град];stroke_full[м];velocity_full[м/с];acceleration_full[м/с²];betta_rod[рад];omega_rod[рад/с];eps_rod[рад/с²]
103.000000;0.027411;9.104197;-2554.011983;16.996364;-35.471079;-73488.064589
104.000000;0.027725;9.014486;-2613.013324;16.923147;-38.132238;-73123.757897
105.000000;0.028037;8.922763;-2669.872624;16.844651;-40.778642;-72733.917695
106.000000;0.028345;8.829102;-2724.607583;16.760905;-43.409314;-72318.842679
107.000000;0.028650;8.733578;-2777.238450;16.671941;-46.023291;-71878.847996
108.000000;0.028951;8.636263;-2827.787916;16.577795;-48.619626;-71414.264489
109.000000;0.029250;8.537228;-2876.281011;16.478502;-51.197391;-70925.437905
110.000000;0.029544;8.436544;-2922.744998;16.374100;-53.755672;-70412.728085
111.000000;0.029835;8.334283;-2967.209262;16.264629;-56.293574;-69876.508136
112.000000;0.030123;8.230511;-3009.705194;16.150129;-58.810221;-69317.163576
113.000000;0.030407;8.125298;-3050.266079;16.030645;-61.304755;-68735.091475
114.000000;0.030687;8.018709;-3088.926974;15.906221;-63.776337;-68130.699580
115.000000;0.030964;7.910810;-3125.724595;15.776903;-66.224150;-67504.405431
116.000000;0.031237;7.801666;-3160.697192;15.642740;-68.647394;-66856.635483
117.000000;0.031506;7.691338;-3193.884437;15.503780;-71.045292;-66187.824213
118.000000;0.031771;7.579889;-3225.327297;15.360077;-73.417087;-65498.413242
119.000000;0.032032;7.467377;-3255.067920;15.211681;-75.762041;-64788.850459
120.000000;0.032289;7.353861;-3283.149517;15.058647;-78.079441;-64059.589149
121.000000;0.032543;7.239399;-3309.616243;14.901031;-80.368591;-63311.087137
122.000000;0.032792;7.124045;-3334.513086;14.738890;-82.628820;-62543.805949
123.000000;0.033037;7.007853;-3357.885752;14.572281;-84.859476;-61758.209980
124.000000;0.033279;6.890876;-3379.780552;14.401265;-87.059929;-60954.765694
125.000000;0.033516;6.773163;-3400.244302;14.225901;-89.229571;-60133.940831
126.000000;0.033749;6.654764;-3419.324210;14.046253;-91.367815;-59296.203650
127.000000;0.033978;6.535725;-3437.067777;13.862382;-93.474094;-58442.022188
128.000000;0.034203;6.416093;-3453.522699;13.674353;-95.547864;-57571.863550
129.000000;0.034424;6.295912;-3468.736772;13.482231;-97.588599;-56686.193228
130.000000;0.034640;6.175223;-3482.757798;13.286082;-99.595797;-55785.474447
131.000000;0.034852;6.054067;-3495.633499;13.085974;-101.568973;-54870.167540
132.000000;0.035061;5.932483;-3507.411432;12.881975;-103.507663;-53940.729363
133.000000;0.035264;5.810509;-3518.138910;12.674153;-105.411425;-52997.612732
134.000000;0.035464;5.688179;-3527.862922;12.462580;-107.279832;-52041.265898
135.000000;0.035659;5.565529;-3536.630066;12.247324;-109.112480;-51072.132061
136.000000;0.035851;5.442591;-3544.486475;12.028459;-110.908981;-50090.648906
137.000000;0.036037;5.319394;-3551.477756;11.806056;-112.668965;-49097.248185
138.000000;0.036220;5.195970;-3557.648930;11.580188;-114.392082;-48092.355323
139.000000;0.036398;5.072344;-3563.044371;11.350929;-116.077998;-47076.389068
140.000000;0.036572;4.948545;-3567.707757;11.118353;-117.726394;-46049.761168
141.000000;0.036742;4.824595;-3571.682022;10.882535;-119.336970;-45012.876084
142.000000;0.036907;4.700519;-3575.009306;10.643551;-120.909440;-43966.130738
143.000000;0.037068;4.576337;-3577.730917;10.401477;-122.443535;-42909.914288
144.000000;0.037225;4.452072;-3579.887291;10.156390;-123.938999;-41844.607945
145.000000;0.037377;4.327740;-3581.517958;9.908366;-125.395592;-40770.584812
146.000000;0.037526;4.203361;-3582.661511;9.657482;-126.813087;-39688.209757
147.000000;0.037669;4.078949;-3583.355573;9.403818;-128.191269;-38597.839322
148.000000;0.037809;3.954521;-3583.636779;9.147452;-129.529939;-37499.821653
149.000000;0.037944;3.830090;-3583.540745;8.888461;-130.828908;-36394.496459
150.000000;0.038075;3.705668;-3583.102054;8.626927;-132.087998;-35282.195007
151.000000;0.038201;3.581267;-3582.354235;8.362927;-133.307045;-34163.240133
152.000000;0.038323;3.456897;-3581.329749;8.096541;-134.485894;-33037.946284
153.000000;0.038441;3.332567;-3580.059976;7.827851;-135.624400;-31906.619587
154.000000;0.038555;3.208284;-3578.575203;7.556936;-136.722429;-30769.557932
155.000000;0.038664;3.084057;-3576.904617;7.283877;-137.779856;-29627.051090
156.000000;0.038769;2.959890;-3575.076295;7.008754;-138.796564;-28479.380841
157.000000;0.038870;2.835789;-3573.117201;6.731650;-139.772446;-27326.821131
158.000000;0.038966;2.711758;-3571.053181;6.452644;-140.707401;-26169.638245
159.000000;0.039058;2.587800;-3568.908957;6.171820;-141.601338;-25008.090996
160.000000;0.039146;2.463918;-3566.708131;5.889258;-142.454172;-23842.430938
161.000000;0.039229;2.340112;-3564.473179;5.605040;-143.265823;-22672.902586
162.000000;0.039308;2.216385;-3562.225457;5.319249;-144.036220;-21499.743663
163.000000;0.039383;2.092735;-3559.985196;5.031966;-144.765297;-20323.185353
164.000000;0.039454;1.969163;-3557.771508;4.743273;-145.452994;-19143.452569
165.000000;0.039520;1.845667;-3555.602386;4.453254;-146.099255;-17960.764237
166.000000;0.039582;1.722246;-3553.494708;4.161990;-146.704030;-16775.333590
167.000000;0.039639;1.598896;-3551.464242;3.869565;-147.267274;-15587.368471
168.000000;0.039693;1.475615;-3549.525645;3.576060;-147.788946;-14397.071653
169.000000;0.039742;1.352400;-3547.692470;3.281559;-148.269010;-13204.641158
170.000000;0.039787;1.229246;-3545.977170;2.986144;-148.707431;-12010.270592
171.000000;0.039827;1.106150;-3544.391098;2.689898;-149.104181;-10814.149491
172.000000;0.039863;0.983107;-3542.944516;2.392905;-149.459234;-9616.463661
173.000000;0.039895;0.860111;-3541.646592;2.095247;-149.772567;-8417.395539
174.000000;0.039923;0.737157;-3540.505410;1.797007;-150.044160;-7217.124553
175.000000;0.039947;0.614240;-3539.527967;1.498268;-150.273998;-6015.827484
176.000000;0.039966;0.491354;-3538.720182;1.199113;-150.462065;-4813.678839
177.000000;0.039981;0.368494;-3538.086891;0.899626;-150.608351;-3610.851222
178.000000;0.039991;0.245652;-3537.631856;0.599889;-150.712847;-2407.515715
179.000000;0.039998;0.122823;-3537.357761;0.299986;-150.775547;-1203.842251
180.000000;0.040000;0.000000;-3537.266217;0.000000;-150.796447;-0.000000
181.000000;0.039998;-0.122823;-3537.357761;-0.299986;-150.775547;1203.842251
182.000000;0.039991;-0.245652;-3537.631856;-0.599889;-150.712847;2407.515715
183.000000;0.039981;-0.368494;-3538.086891;-0.899626;-150.608351;3610.851222
184.000000;0.039966;-0.491354;-3538.720182;-1.199113;-150.462065;4813.678839
185.000000;0.039947;-0.614240;-3539.527967;-1.498268;-150.273998;6015.827484
186.000000;0.039923;-0.737157;-3540.505410;-1.797007;-150.044160;7217.124553
187.000000;0.039895;-0.860111;-3541.646592;-2.095247;-149.772567;8417.395539
188.000000;0.039863;-0.983107;-3542.944516;-2.392905;-149.459234;9616.463661
189.000000;0.039827;-1.106150;-3544.391098;-2.689898;-149.104181;10814.149491
190.000000;0.039787;-1.229246;-3545.977170;-2.986144;-148.707431;12010.270592
191.000000;0.039742;-1.352400;-3547.692470;-3.281559;-148.269010;13204.641158
192.000000;0.039693;-1.475615;-3549.525645;-3.576060;-147.788946;14397.071653
193.000000;0.039639;-1.598896;-3551.464242;-3.869565;-147.267274;15587.368471
194.000000;0.039582;-1.722246;-3553.494708;-4.161990;-146.704030;16775.333590
195.000000;0.039520;-1.845667;-3555.602386;-4.453254;-146.099255;17960.764237
196.000000;0.039454;-1.969163;-3557.771508;-4.743273;-145.452994;19143.452569
