# Результаты расчета кинематики КШМ
# Дата создания: Sat Nov 08 18:34:09 2025
# Параметры расчета:
# Шаг угла α: 1 град.
# Предел угла α: 360 град.
# Радиус кривошипа 0.02 м
# λ: 0.3
# Частота вращения: 4800 об/мин
# Угол развала: 0 град.
# Угол прицепного шатуна: 0 град.
# Дезаксиал: 0 м
# Количество точек расчета: 361

ГЛАВНЫЙ ЦИЛИНДР:
==================================================================================================================================
|  α [град] |   S полн [м]  |   S1 [м]   |   S2 [м]   |  V полн [м/с] |   V1 [м/с]  |   V2 [м/с]  | A полн [м/с²] |  A1 [м/с²]  |  A2 [м/с²]  |
|   58.0000 |       0.0116 |     0.0094 |     0.0022 |        9.9270 |      8.5255 |      1.3553 |     2021.1027 |   2677.8079 |   -664.5580 |
|   59.0000 |       0.0119 |     0.0097 |     0.0022 |        9.9950 |      8.6172 |      1.3315 |     1895.6031 |   2602.6097 |   -711.7054 |
|   60.0000 |       0.0123 |     0.0100 |     0.0022 |       10.0586 |      8.7062 |      1.3059 |     1770.0879 |   2526.6187 |   -757.9856 |
|   61.0000 |       0.0126 |     0.0103 |     0.0023 |       10.1179 |      8.7926 |      1.2788 |     1644.6483 |   2449.8581 |   -803.3424 |
|   62.0000 |       0.0130 |     0.0106 |     0.0023 |       10.1728 |      8.8764 |      1.2502 |     1519.3753 |   2372.3513 |   -847.7204 |
|   63.0000 |       0.0133 |     0.0109 |     0.0024 |       10.2234 |      8.9574 |      1.2200 |     1394.3592 |   2294.1218 |   -891.0655 |
|   64.0000 |       0.0137 |     0.0112 |     0.0024 |       10.2697 |      9.0357 |      1.1883 |     1269.6898 |   2215.1935 |   -933.3251 |
|   65.0000 |       0.0141 |     0.0115 |     0.0025 |       10.3116 |      9.1112 |      1.1552 |     1145.4563 |   2135.5904 |   -974.4475 |
|   66.0000 |       0.0144 |     0.0119 |     0.0025 |       10.3492 |      9.1840 |      1.1206 |     1021.7467 |   2055.3368 |  -1014.3828 |
|   67.0000 |       0.0148 |     0.0122 |     0.0025 |       10.3826 |      9.2539 |      1.0847 |      898.6483 |   1974.4572 |  -1053.0821 |
