alpha_deg,P_gas_N,F_in_N,F_sum_N,beta_rad,K_N,N_N,Z_N,T_N,M_Nm,a_p_mps2
330.5,10597.4,-10852.1,-254.672,-0.164887,-258.174,42.377,-200.788,162.29,9.73739,10381.1
331,10831,-10950.2,-119.126,-0.162315,-120.713,19.5075,-94.7324,74.815,4.4889,10475
331.5,11070.1,-11047,23.1106,-0.159731,23.4086,-3.72321,18.5334,-14.2995,-0.857967,10567.6
332,11314.6,-11142.5,172.105,-0.157136,174.252,-27.2688,139.158,-104.875,-6.29252,10658.9
332.5,11564.6,-11236.7,327.917,-0.15453,331.872,-51.0804,267.28,-196.724,-11.8035,10749
333,11820.1,-11329.5,490.597,-0.151914,496.313,-75.1071,403.027,-289.647,-17.3788,10837.9
333.5,12081.2,-11421,660.185,-0.149286,667.61,-99.2954,546.516,-383.436,-23.0061,10925.4
334,12347.8,-11511.1,836.708,-0.146649,845.786,-123.589,697.85,-477.87,-28.6722,11011.6
334.5,12620,-11599.8,1020.18,-0.144001,1030.85,-147.931,857.116,-572.721,-34.3632,11096.5
335,12897.8,-11687.2,1210.61,-0.141343,1222.81,-172.26,1024.39,-667.747,-40.0648,11180
335.5,13181,-11773,1407.98,-0.138675,1421.63,-196.513,1199.72,-762.7,-45.762,11262.1
336,13469.7,-11857.5,1612.26,-0.135998,1627.29,-220.626,1383.14,-857.318,-51.4391,11342.9
336.5,13763.9,-11940.5,1823.41,-0.133311,1839.73,-244.53,1574.67,-951.332,-57.0799,11422.3
337,14063.3,-12022,2041.35,-0.130615,2058.89,-268.158,1774.3,-1044.46,-62.6676,11500.2
337.5,14368,-12102,2266.01,-0.12791,2284.68,-291.436,1981.99,-1136.42,-68.185,11576.8
338,14677.7,-12180.4,2497.27,-0.125196,2516.97,-314.292,2197.7,-1226.9,-73.6141,11651.9
338.5,14992.4,-12257.4,2735.01,-0.122473,2755.65,-336.65,2421.32,-1315.61,-78.9366,11725.5
339,15311.9,-12332.8,2979.07,-0.119742,3000.55,-358.434,2652.75,-1402.23,-84.1338,11797.6
339.5,15635.9,-12406.7,3229.26,-0.117003,3251.49,-379.565,2891.83,-1486.44,-89.1863,11868.3
