alpha_deg,P_gas_N,F_in_N,F_sum_N,beta_rad,K_N,N_N,Z_N,T_N,M_Nm,a_p_mps2
112.5,1194.59,7594.1,8788.69,0.313048,9237.65,2844.82,-5991.56,7031.03,386.707,-3945.77
113,1194.59,7638.36,8832.95,0.311866,9280.62,2847.62,-6072.55,7018.12,385.996,-3968.76
113.5,1194.59,7681.38,8875.97,0.31066,9322.2,2849.67,-6152.6,7003.49,385.192,-3991.12
114,1194.59,7723.17,8917.76,0.309429,9362.41,2851,-6231.7,6987.18,384.295,-4012.83
114.5,1194.59,7763.76,8958.35,0.308175,9401.25,2851.59,-6309.81,6969.21,383.307,-4033.92
115,1194.59,7803.14,8997.73,0.306898,9438.75,2851.47,-6386.91,6949.63,382.229,-4054.38
115.5,1194.59,7841.32,9035.91,0.305596,9474.91,2850.64,-6463,6928.45,381.065,-4074.22
116,1194.59,7878.32,9072.91,0.304271,9509.73,2849.1,-6538.05,6905.72,379.814,-4093.45
116.5,1194.59,7914.14,9108.73,0.302923,9543.25,2846.86,-6612.05,6881.45,378.48,-4112.06
117,1194.59,7948.8,9143.39,0.301552,9575.47,2843.93,-6684.98,6855.7,377.064,-4130.07
117.5,1194.59,7982.3,9176.89,0.300157,9606.39,2840.32,-6756.82,6828.49,375.567,-4147.47
118,1194.59,8014.66,9209.25,0.29874,9636.05,2836.04,-6827.56,6799.85,373.992,-4164.29
118.5,1194.59,8045.89,9240.48,0.297299,9664.45,2831.09,-6897.19,6769.81,372.339,-4180.51
119,1194.59,8075.99,9270.58,0.295836,9691.6,2825.49,-6965.69,6738.41,370.613,-4196.15
119.5,1194.59,8104.99,9299.58,0.294351,9717.52,2819.23,-7033.07,6705.68,368.813,-4211.22
120,1194.59,8132.88,9327.47,0.292843,9742.23,2812.34,-7099.29,6671.66,366.941,-4225.71
120.5,1194.59,8159.69,9354.29,0.291313,9765.74,2804.81,-7164.37,6636.37,365.001,-4239.64
121,1194.59,8185.43,9380.02,0.28976,9788.06,2796.67,-7228.28,6599.86,362.992,-4253.02
121.5,1194.59,8210.11,9404.7,0.288186,9809.22,2787.91,-7291.03,6562.14,360.918,-4265.84
122,1194.59,8233.74,9428.33,0.28659,9829.23,2778.55,-7352.6,6523.27,358.78,-4278.11
122.5,1194.59,8256.33,9450.92,0.284972,9848.1,2768.6,-7412.99,6483.26,356.579,-4289.85
123,1194.59,8277.9,9472.49,0.283333,9865.85,2758.07,-7472.2,6442.15,354.318,-4301.06
123.5,1194.59,8298.46,9493.05,0.281672,9882.5,2746.96,-7530.22,6399.98,351.999,-4311.75
124,1194.59,8318.03,9512.62,0.27999,9898.07,2735.29,-7587.05,6356.77,349.622,-4321.91
124.5,1194.59,8336.62,9531.21,0.278287,9912.57,2723.07,-7642.69,6312.56,347.191,-4331.57
125,1194.59,8354.24,9548.83,0.276563,9926.02,2710.31,-7697.14,6267.38,344.706,-4340.73
125.5,1194.59,8370.91,9565.5,0.274818,9938.44,2697.01,-7750.39,6221.26,342.169,-4349.39
126,1194.59,8386.63,9581.23,0.273053,9949.85,2683.2,-7802.46,6174.23,339.583,-4357.56
126.5,1194.59,8401.44,9596.03,0.271267,9960.25,2668.87,-7853.33,6126.33,336.948,-4365.25
127,1194.59,8415.33,9609.93,0.269461,9969.69,2654.05,-7903.01,6077.58,334.267,-4372.47
127.5,1194.59,8428.34,9622.93,0.267635,9978.16,2638.73,-7951.52,6028.02,331.541,-4379.23
128,1194.59,8440.46,9635.05,0.265789,9985.69,2622.94,-7998.84,5977.68,328.772,-4385.52
