alpha_deg,P,V
233,109571,0.00107875
233.5,110016,0.00107559
234,110468,0.0010724
234.5,110928,0.00106918
235,111395,0.00106593
235.5,111870,0.00106265
236,112352,0.00105934
236.5,112843,0.001056
237,113342,0.00105263
237.5,113849,0.00104923
238,114364,0.0010458
238.5,114888,0.00104234
239,115420,0.00103886
239.5,115961,0.00103534
240,116512,0.0010318
240.5,117071,0.00102822
241,117639,0.00102462
241.5,118217,0.00102099
242,118804,0.00101733
242.5,119401,0.00101364
243,120008,0.00100992
243.5,120625,0.00100618
244,121252,0.00100241
244.5,121889,0.000998604
245,122537,0.000994775
245.5,123196,0.000990918
246,123866,0.000987033
246.5,124546,0.000983121
247,125239,0.000979181
247.5,125942,0.000975213
248,126657,0.000971219
248.5,127385,0.000967198
249,128124,0.00096315
249.5,128876,0.000959075
250,129640,0.000954974
250.5,130418,0.000950846
251,131208,0.000946692
251.5,132012,0.000942512
252,132829,0.000938307
252.5,133660,0.000934076
253,134505,0.000929819
253.5,135365,0.000925537
254,136239,0.00092123
254.5,137128,0.000916899
255,138032,0.000912543
255.5,138952,0.000908162
256,139887,0.000903757
256.5,140838,0.000899329
257,141806,0.000894877
257.5,142791,0.000890401
258,143793,0.000885902
258.5,144812,0.00088138
259,145848,0.000876836
259.5,146903,0.000872269
260,147976,0.00086768
260.5,149069,0.000863069
261,150180,0.000858436
261.5,151311,0.000853782
262,152462,0.000849107
262.5,153633,0.000844412
263,154825,0.000839696
263.5,156038,0.000834959
264,157273,0.000830203
264.5,158530,0.000825428
265,159810,0.000820633
265.5,161112,0.000815819
266,162439,0.000810987
266.5,163789,0.000806136
267,165164,0.000801268
267.5,166564,0.000796382
268,167990,0.000791479
268.5,169441,0.000786559
269,170920,0.000781623
269.5,172426,0.00077667
270,173959,0.000771702
270.5,175522,0.000766719
271,177113,0.00076172
271.5,178734,0.000756707
272,180386,0.00075168
272.5,182069,0.000746639
273,183784,0.000741584
273.5,185531,0.000736517
274,187312,0.000731437
274.5,189126,0.000726345
275,190976,0.000721241
275.5,192861,0.000716125
276,194782,0.000710999
276.5,196741,0.000705863
277,198738,0.000700716
277.5,200774,0.00069556
278,202850,0.000690395
278.5,204966,0.000685221
279,207125,0.000680039
279.5,209326,0.000674849
280,211571,0.000669652
280.5,213862,0.000664448
281,216198,0.000659237
281.5,218581,0.000654021
282,221012,0.0006488
282.5,223493,0.000643574
283,226024,0.000638343
283.5,228607,0.000633108
284,231243,0.00062787
284.5,233933,0.000622629
285,236679,0.000617386
285.5,239483,0.000612141
286,242344,0.000606894
286.5,245266,0.000601647
287,248249,0.000596399
287.5,251295,0.000591151
288,254406,0.000585904
288.5,257583,0.000580659
289,260828,0.000575415
289.5,264143,0.000570173
290,267529,0.000564934
290.5,270989,0.000559699
291,274524,0.000554468
291.5,278135,0.000549241
292,281827,0.000544018
292.5,285599,0.000538802
293,289454,0.000533592
293.5,293396,0.000528388
294,297425,0.000523191
294.5,301544,0.000518003
295,305756,0.000512822
295.5,310063,0.00050765
296,314467,0.000502488
296.5,318972,0.000497336
297,323579,0.000492194
297.5,328292,0.000487064
298,333114,0.000481945
298.5,338047,0.000476838
299,343094,0.000471744
299.5,348260,0.000466664
300,353546,0.000461597
300.5,358956,0.000456545
301,364494,0.000451508
301.5,370163,0.000446487
302,375967,0.000441481
302.5,381909,0.000436493
303,387994,0.000431522
303.5,394225,0.000426569
304,400606,0.000421634
304.5,407142,0.000416718
305,413837,0.000411822
305.5,420695,0.000406946
306,427722,0.000402091
306.5,434921,0.000397257
307,442297,0.000392445
307.5,449856,0.000387655
308,457603,0.000382889
308.5,465543,0.000378145
309,473681,0.000373426
309.5,482023,0.000368732
310,490576,0.000364062
310.5,499344,0.000359419
311,508333,0.000354802
311.5,517551,0.000350211
312,527003,0.000345648
312.5,536697,0.000341113
313,546638,0.000336607
313.5,556834,0.000332129
314,567291,0.000327681
314.5,578018,0.000323263
315,589022,0.000318876
315.5,600310,0.000314519
316,611890,0.000310195
316.5,623770,0.000305902
317,635958,0.000301643
317.5,648463,0.000297416
318,661293,0.000293224
318.5,674457,0.000289065
319,687964,0.000284942
319.5,701822,0.000280853
320,716042,0.000276801
320.5,730631,0.000272784
321,745601,0.000268804
321.5,760959,0.000264862
322,776717,0.000260957
322.5,792883,0.000257091
323,809468,0.000253263
323.5,826481,0.000249474
324,843933,0.000245725
324.5,861833,0.000242016
325,880191,0.000238348
325.5,899018,0.00023472
326,918323,0.000231134
326.5,938116,0.00022759
327,958406,0.000224088
327.5,979204,0.000220629
328,1.00052e+06,0.000217214
328.5,1.02236e+06,0.000213841
329,1.04473e+06,0.000210513
329.5,1.06764e+06,0.000207229
330,1.09111e+06,0.00020399
330.5,1.11513e+06,0.000200797
331,1.13971e+06,0.000197649
331.5,1.16487e+06,0.000194547
332,1.19059e+06,0.000191491
332.5,1.2169e+06,0.000188483
333,1.24379e+06,0.000185521
333.5,1.27126e+06,0.000182607
334,1.29932e+06,0.000179741
334.5,1.32796e+06,0.000176923
335,1.35719e+06,0.000174154
335.5,1.38699e+06,0.000171434
336,1.41737e+06,0.000168764
336.5,1.44832e+06,0.000166143
337,1.47983e+06,0.000163571
337.5,1.51189e+06,0.000161051
338,1.54448e+06,0.000158581
338.5,1.5776e+06,0.000156162
339,1.61122e+06,0.000153794
339.5,1.64531e+06,0.000151477
340,1.67987e+06,0.000149213
340.5,1.71486e+06,0.000147001
341,1.75025e+06,0.000144841
341.5,1.78601e+06,0.000142733
342,1.8221e+06,0.000140679
342.5,1.85848e+06,0.000138678
343,1.89511e+06,0.00013673
343.5,1.93194e+06,0.000134837
344,1.96892e+06,0.000132997
344.5,2.006e+06,0.000131211
345,2.04311e+06,0.00012948
345.5,2.08019e+06,0.000127803
