alpha_deg,Z_plus_Pc_N,T_N,Pc_prime_N
212.5,-959.201,-3234.89,6974.52
213,-951.895,-3289.74,6974.52
213.5,-944.049,-3344.67,6974.52
214,-935.646,-3399.68,6974.52
214.5,-926.67,-3454.76,6974.52
215,-917.106,-3509.89,6974.52
215.5,-906.937,-3565.06,6974.52
216,-896.148,-3620.28,6974.52
216.5,-884.724,-3675.51,6974.52
217,-872.648,-3730.75,6974.52
217.5,-859.905,-3785.99,6974.52
218,-846.479,-3841.22,6974.52
218.5,-832.357,-3896.42,6974.52
219,-817.521,-3951.58,6974.52
219.5,-801.959,-4006.68,6974.52
220,-785.654,-4061.71,6974.52
220.5,-768.593,-4116.65,6974.52
221,-750.761,-4171.49,6974.52
221.5,-732.143,-4226.21,6974.52
222,-712.728,-4280.8,6974.52
222.5,-692.5,-4335.24,6974.52
223,-671.446,-4389.51,6974.52
223.5,-649.554,-4443.59,6974.52
224,-626.811,-4497.47,6974.52
224.5,-603.204,-4551.13,6974.52
225,-578.722,-4604.55,6974.52
225.5,-553.353,-4657.7,6974.52
226,-527.085,-4710.58,6974.52
226.5,-499.908,-4763.15,6974.52
227,-471.812,-4815.4,6974.52
227.5,-442.785,-4867.31,6974.52
228,-412.819,-4918.86,6974.52
228.5,-381.904,-4970.02,6974.52
229,-350.032,-5020.78,6974.52
229.5,-317.194,-5071.11,6974.52
230,-283.383,-5120.98,6974.52
230.5,-248.591,-5170.39,6974.52
231,-212.812,-5219.29,6974.52
231.5,-176.039,-5267.68,6974.52
232,-138.267,-5315.52,6974.52
232.5,-99.4905,-5362.79,6974.52
233,-59.7056,-5409.46,6974.52
233.5,-18.908,-5455.53,6974.52
234,22.9054,-5500.94,6974.52
234.5,65.7372,-5545.69,6974.52
235,109.59,-5589.75,6974.52
235.5,154.464,-5633.09,6974.52
236,200.36,-5675.69,6974.52
236.5,247.279,-5717.52,6974.52
237,295.22,-5758.55,6974.52
237.5,344.181,-5798.77,6974.52
238,394.16,-5838.13,6974.52
238.5,445.155,-5876.63,6974.52
239,497.161,-5914.22,6974.52
239.5,550.175,-5950.89,6974.52
240,604.192,-5986.6,6974.52
240.5,659.204,-6021.34,6974.52
241,715.207,-6055.08,6974.52
241.5,772.192,-6087.78,6974.52
242,830.152,-6119.43,6974.52
242.5,889.076,-6149.99,6974.52
243,948.956,-6179.45,6974.52
243.5,1009.78,-6207.77,6974.52
244,1071.54,-6234.93,6974.52
244.5,1134.22,-6260.9,6974.52
245,1197.81,-6285.67,6974.52
245.5,1262.29,-6309.19,6974.52
246,1327.65,-6331.46,6974.52
246.5,1393.87,-6352.44,6974.52
247,1460.94,-6372.1,6974.52
247.5,1528.84,-6390.44,6974.52
248,1597.56,-6407.41,6974.52
248.5,1667.06,-6423,6974.52
249,1737.34,-6437.19,6974.52
249.5,1808.37,-6449.95,6974.52
250,1880.13,-6461.26,6974.52
250.5,1952.6,-6471.1,6974.52
251,2025.76,-6479.44,6974.52
251.5,2099.58,-6486.28,6974.52
252,2174.03,-6491.58,6974.52
252.5,2249.1,-6495.32,6974.52
253,2324.75,-6497.5,6974.52
253.5,2400.96,-6498.08,6974.52
254,2477.69,-6497.06,6974.52
254.5,2554.93,-6494.41,6974.52
255,2632.64,-6490.12,6974.52
255.5,2710.79,-6484.18,6974.52
256,2789.36,-6476.56,6974.52
256.5,2868.3,-6467.26,6974.52
257,2947.59,-6456.25,6974.52
257.5,3027.19,-6443.54,6974.52
258,3107.07,-6429.11,6974.52
258.5,3187.2,-6412.94,6974.52
259,3267.53,-6395.02,6974.52
259.5,3348.05,-6375.36,6974.52
260,3428.7,-6353.93,6974.52
260.5,3509.45,-6330.74,6974.52
261,3590.27,-6305.78,6974.52
261.5,3671.12,-6279.04,6974.52
262,3751.95,-6250.52,6974.52
262.5,3832.74,-6220.21,6974.52
263,3913.43,-6188.12,6974.52
263.5,3994,-6154.24,6974.52
264,4074.4,-6118.58,6974.52
264.5,4154.59,-6081.13,6974.52
265,4234.53,-6041.91,6974.52
265.5,4314.18,-6000.91,6974.52
266,4393.5,-5958.14,6974.52
266.5,4472.45,-5913.6,6974.52
267,4550.98,-5867.31,6974.52
267.5,4629.06,-5819.27,6974.52
268,4706.63,-5769.5,6974.52
268.5,4783.67,-5718,6974.52
269,4860.13,-5664.79,6974.52
269.5,4935.96,-5609.88,6974.52
270,5011.13,-5553.3,6974.52
270.5,5085.59,-5495.05,6974.52
271,5159.3,-5435.15,6974.52
271.5,5232.22,-5373.63,6974.52
272,5304.31,-5310.51,6974.52
272.5,5375.53,-5245.8,6974.52
273,5445.83,-5179.54,6974.52
273.5,5515.17,-5111.74,6974.52
274,5583.53,-5042.44,6974.52
274.5,5650.84,-4971.67,6974.52
275,5717.09,-4899.45,6974.52
275.5,5782.22,-4825.81,6974.52
276,5846.2,-4750.79,6974.52
276.5,5908.99,-4674.42,6974.52
277,5970.56,-4596.74,6974.52
277.5,6030.87,-4517.78,6974.52
278,6089.88,-4437.58,6974.52
278.5,6147.56,-4356.18,6974.52
279,6203.88,-4273.63,6974.52
279.5,6258.79,-4189.96,6974.52
280,6312.28,-4105.21,6974.52
280.5,6364.31,-4019.45,6974.52
281,6414.85,-3932.7,6974.52
281.5,6463.87,-3845.02,6974.52
282,6511.34,-3756.45,6974.52
282.5,6557.24,-3667.06,6974.52
283,6601.55,-3576.88,6974.52
283.5,6644.23,-3485.98,6974.52
284,6685.27,-3394.4,6974.52
284.5,6724.64,-3302.2,6974.52
285,6762.33,-3209.45,6974.52
285.5,6798.32,-3116.19,6974.52
286,6832.6,-3022.49,6974.52
286.5,6865.13,-2928.4,6974.52
287,6895.93,-2833.99,6974.52
287.5,6924.97,-2739.32,6974.52
288,6952.24,-2644.46,6974.52
288.5,6977.73,-2549.46,6974.52
289,7001.45,-2454.4,6974.52
289.5,7023.39,-2359.34,6974.52
290,7043.54,-2264.35,6974.52
290.5,7061.91,-2169.49,6974.52
291,7078.49,-2074.84,6974.52
291.5,7093.3,-1980.47,6974.52
292,7106.34,-1886.44,6974.52
292.5,7117.62,-1792.83,6974.52
293,7127.15,-1699.71,6974.52
293.5,7134.95,-1607.15,6974.52
294,7141.02,-1515.23,6974.52
294.5,7145.4,-1424.01,6974.52
295,7148.1,-1333.58,6974.52
295.5,7149.14,-1244.02,6974.52
296,7148.56,-1155.38,6974.52
296.5,7146.38,-1067.76,6974.52
297,7142.63,-981.219,6974.52
297.5,7137.36,-895.842,6974.52
298,7130.58,-811.704,6974.52
298.5,7122.36,-728.88,6974.52
299,7112.72,-647.447,6974.52
299.5,7101.73,-567.482,6974.52
300,7089.42,-489.06,6974.52
300.5,7075.85,-412.258,6974.52
301,7061.07,-337.152,6974.52
301.5,7045.15,-263.817,6974.52
302,7028.14,-192.329,6974.52
302.5,7010.12,-122.763,6974.52
303,6991.14,-55.1922,6974.52
303.5,6971.29,10.3085,6974.52
304,6950.64,73.6663,6974.52
304.5,6929.26,134.809,6974.52
305,6907.25,193.664,6974.52
305.5,6884.68,250.162,6974.52
306,6861.64,304.232,6974.52
