alpha_deg,M_Nm,M_minus_Ms_Nm,A_cum_J
164.5,68.8862,-13.8524,-119.44
165,66.5513,-16.1873,-119.571
165.5,64.2267,-18.5119,-119.722
166,61.9122,-20.8264,-119.894
166.5,59.6077,-23.1309,-120.086
167,57.3127,-25.4258,-120.298
167.5,55.0272,-27.7114,-120.529
168,52.7508,-29.9878,-120.781
168.5,50.4832,-32.2554,-121.053
169,48.2242,-34.5144,-121.344
169.5,45.9734,-36.7651,-121.655
170,43.7306,-39.0079,-121.986
170.5,41.4954,-41.2431,-122.336
171,39.2676,-43.471,-122.706
171.5,37.0466,-45.6919,-123.095
172,34.8323,-47.9062,-123.503
172.5,32.6243,-50.1143,-123.931
173,30.4222,-52.3164,-124.378
173.5,28.2256,-54.513,-124.844
174,26.0342,-56.7044,-125.329
174.5,23.8476,-58.8909,-125.833
175,21.6655,-61.0731,-126.357
175.5,19.4873,-63.2513,-126.899
176,17.3128,-65.4258,-127.461
176.5,15.1416,-67.597,-128.041
177,12.9732,-69.7654,-128.641
177.5,10.8072,-71.9313,-129.259
178,8.64333,-74.0953,-129.896
178.5,6.48106,-76.2575,-130.552
179,4.32002,-78.4186,-131.227
179.5,2.15981,-80.5788,-131.921
180,4.54627e-14,-82.7386,-132.633
180.5,-2.15981,-84.8984,-133.365
181,-4.32006,-87.0586,-134.115
181.5,-6.48118,-89.2198,-134.884
182,-8.64361,-91.3822,-135.672
182.5,-10.8078,-93.5464,-136.479
183,-12.9742,-95.7127,-137.305
183.5,-15.1431,-97.8817,-138.15
184,-17.3151,-100.054,-139.013
184.5,-19.4906,-102.229,-139.896
185,-21.67,-104.409,-140.798
185.5,-23.8536,-106.592,-141.718
186,-26.042,-108.781,-142.658
186.5,-28.2355,-110.974,-143.617
187,-30.4345,-113.173,-144.595
187.5,-32.6395,-115.378,-145.592
188,-34.8508,-117.589,-146.609
188.5,-37.0688,-119.807,-147.645
189,-39.2939,-122.032,-148.7
189.5,-41.5264,-124.265,-149.774
190,-43.7668,-126.505,-150.869
190.5,-46.0154,-128.754,-151.982
191,-48.2724,-131.011,-153.116
191.5,-50.5384,-133.277,-154.269
192,-52.8135,-135.552,-155.442
192.5,-55.0982,-137.837,-156.635
193,-57.3927,-140.131,-157.848
193.5,-59.6973,-142.436,-159.081
194,-62.0123,-144.751,-160.334
194.5,-64.338,-147.077,-161.607
195,-66.6747,-149.413,-162.901
195.5,-69.0225,-151.761,-164.215
196,-71.3818,-154.12,-165.55
196.5,-73.7528,-156.491,-166.905
197,-76.1357,-158.874,-168.281
197.5,-78.5306,-161.269,-169.678
198,-80.9378,-163.676,-171.096
198.5,-83.3574,-166.096,-172.535
199,-85.7897,-168.528,-173.995
199.5,-88.2346,-170.973,-175.476
200,-90.6925,-173.431,-176.979
200.5,-93.1633,-175.902,-178.503
201,-95.6471,-178.386,-180.049
201.5,-98.1441,-180.883,-181.616
202,-100.654,-183.393,-183.206
202.5,-103.178,-185.916,-184.817
203,-105.714,-188.453,-186.451
203.5,-108.264,-191.003,-188.106
204,-110.827,-193.566,-189.784
204.5,-113.404,-196.142,-191.485
205,-115.993,-198.732,-193.208
205.5,-118.596,-201.334,-194.953
206,-121.211,-203.95,-196.722
206.5,-123.84,-206.578,-198.513
207,-126.481,-209.219,-200.327
207.5,-129.135,-211.873,-202.165
208,-131.801,-214.539,-204.025
208.5,-134.479,-217.218,-205.909
209,-137.17,-219.908,-207.817
209.5,-139.872,-222.61,-209.747
210,-142.585,-225.324,-211.702
210.5,-145.31,-228.049,-213.68
211,-148.046,-230.784,-215.682
211.5,-150.792,-233.531,-217.708
212,-153.549,-236.287,-219.758
212.5,-156.315,-239.053,-221.832
213,-159.091,-241.829,-223.93
213.5,-161.875,-244.614,-226.053
214,-164.669,-247.407,-228.2
214.5,-167.47,-250.209,-230.371
215,-170.279,-253.018,-232.567
215.5,-173.095,-255.834,-234.787
216,-175.918,-258.657,-237.032
216.5,-178.747,-261.485,-239.301
217,-181.581,-264.319,-241.596
217.5,-184.419,-267.158,-243.915
218,-187.262,-270.001,-246.258
218.5,-190.109,-272.847,-248.627
219,-192.958,-275.696,-251.021
219.5,-195.809,-278.548,-253.439
220,-198.662,-281.4,-255.882
220.5,-201.515,-284.253,-258.35
221,-204.367,-287.106,-260.843
221.5,-207.219,-289.958,-263.361
222,-210.069,-292.808,-265.904
222.5,-212.916,-295.655,-268.472
223,-215.76,-298.499,-271.064
223.5,-218.599,-301.338,-273.681
