alpha_deg,M_Nm,M_minus_Ms_Nm,A_cum_J
386.5,970.119,887.38,-598.769
387,963.317,880.578,-591.055
387.5,956.2,873.461,-583.401
388,948.799,866.061,-575.811
388.5,941.147,858.408,-568.287
389,933.27,850.532,-560.83
389.5,925.198,842.459,-553.443
390,916.957,834.218,-546.127
390.5,908.571,825.833,-538.884
391,900.066,817.327,-531.714
391.5,891.463,808.725,-524.619
392,882.785,800.047,-517.599
392.5,874.052,791.314,-510.656
393,865.284,782.545,-503.789
393.5,856.498,773.76,-496.998
394,847.712,764.974,-490.284
394.5,838.943,756.204,-483.647
395,830.205,747.466,-477.086
395.5,821.512,738.773,-470.601
396,812.879,730.14,-464.191
396.5,804.317,721.578,-457.857
397,795.838,713.099,-451.597
397.5,787.453,704.715,-445.411
398,779.173,696.434,-439.297
398.5,771.005,688.267,-433.255
399,762.96,680.221,-427.284
399.5,755.044,672.305,-421.382
400,747.265,664.526,-415.549
400.5,739.63,656.891,-409.784
401,732.144,649.405,-404.084
401.5,724.812,642.074,-398.449
402,717.641,634.902,-392.877
402.5,710.633,627.894,-387.367
403,703.793,621.054,-381.917
403.5,697.124,614.385,-376.527
404,690.629,607.89,-371.193
404.5,684.31,601.571,-365.916
405,678.169,595.431,-360.693
405.5,672.209,589.47,-355.523
406,666.429,583.691,-350.404
406.5,660.832,578.093,-345.335
407,655.417,572.679,-340.314
407.5,650.185,567.447,-335.339
408,645.136,562.398,-330.409
408.5,640.269,557.531,-325.523
409,635.585,552.846,-320.678
409.5,631.08,548.342,-315.873
410,626.756,544.018,-311.106
410.5,622.61,539.872,-306.377
411,618.641,535.903,-301.683
411.5,614.847,532.109,-297.023
412,611.226,528.488,-292.395
412.5,607.776,525.037,-287.799
413,604.495,521.756,-283.231
413.5,601.379,518.641,-278.691
414,598.427,515.689,-274.178
414.5,595.636,512.897,-269.69
415,593.002,510.264,-265.226
415.5,590.523,507.785,-260.784
416,588.196,505.458,-256.363
416.5,586.017,503.279,-251.961
417,583.984,501.245,-247.578
417.5,582.091,499.353,-243.212
418,580.337,497.599,-238.862
418.5,578.717,495.979,-234.527
419,577.229,494.49,-230.205
419.5,575.867,493.128,-225.896
420,574.628,491.89,-221.598
420.5,573.51,490.771,-217.31
421,572.506,489.768,-213.032
421.5,571.615,488.876,-208.762
422,570.831,488.093,-204.499
422.5,570.152,487.413,-200.242
423,569.572,486.833,-195.992
423.5,569.088,486.35,-191.745
424,568.696,485.958,-187.503
424.5,568.393,485.654,-183.263
425,568.173,485.434,-179.026
425.5,568.033,485.294,-174.79
426,567.968,485.23,-170.556
426.5,567.976,485.238,-166.321
427,568.052,485.313,-162.086
427.5,568.192,485.453,-157.851
428,568.392,485.653,-153.613
428.5,568.648,485.909,-149.374
429,568.956,486.217,-145.133
429.5,569.312,486.574,-140.888
430,569.714,486.975,-136.64
430.5,570.156,487.417,-132.388
431,570.635,487.896,-128.133
431.5,571.147,488.408,-123.873
432,571.689,488.95,-119.608
432.5,572.257,489.518,-115.339
433,572.848,490.109,-111.065
433.5,573.457,490.719,-106.785
434,574.082,491.344,-102.5
434.5,574.72,491.981,-98.2093
435,575.366,492.627,-93.9131
435.5,576.017,493.278,-89.6113
436,576.671,493.932,-85.3038
436.5,577.324,494.585,-80.9905
437,577.972,495.234,-76.6716
437.5,578.614,495.876,-72.3471
438,579.246,496.507,-68.017
438.5,579.865,497.126,-63.6815
439,580.468,497.73,-59.3406
439.5,581.053,498.314,-54.9945
440,581.616,498.878,-50.6435
440.5,582.156,499.417,-46.2876
441,582.669,499.931,-41.9271
441.5,583.154,500.415,-37.5623
442,583.607,500.868,-33.1934
442.5,584.026,501.288,-28.8206
443,584.41,501.672,-24.4444
443.5,584.756,502.018,-20.065
444,585.062,502.323,-15.6827
444.5,585.326,502.587,-11.298
445,585.545,502.807,-6.9111
445.5,585.719,502.98,-2.52253
446,585.845,503.106,1.86735
446.5,585.922,503.183,6.25812
447,585.947,503.208,10.6493
447.5,585.92,503.181,15.0405
448,585.839,503.1,19.4313
448.5,585.702,502.963,23.821
449,585.508,502.77,28.2094
449.5,585.257,502.518,32.5958
450,584.946,502.207,36.9797
450.5,584.574,501.836,41.3607
451,584.141,501.403,45.7381
451.5,583.646,500.907,50.1115
452,583.087,500.349,54.4803
452.5,582.464,499.726,58.844
453,581.777,499.038,63.2019
453.5,581.023,498.285,67.5536
454,580.204,497.465,71.8983
454.5,579.318,496.579,76.2357
455,578.364,495.625,80.565
455.5,577.343,494.604,84.8857
456,576.254,493.515,89.1972
456.5,575.097,492.358,93.4988
457,573.871,491.132,97.7901
457.5,572.576,489.838,102.07
458,571.213,488.475,106.339
458.5,569.782,487.043,110.596
459,568.281,485.542,114.839
459.5,566.712,483.973,119.07
460,565.074,482.335,123.286
460.5,563.368,480.629,127.488
461,561.594,478.855,131.674
461.5,559.752,477.013,135.845
462,557.843,475.104,139.999
462.5,555.866,473.128,144.137
463,553.823,471.085,148.257
463.5,551.714,468.976,152.358
464,549.54,466.801,156.442
464.5,547.3,464.562,160.505
465,544.996,462.258,164.549
465.5,542.629,459.89,168.573
466,540.198,457.46,172.576
466.5,537.705,454.967,176.557
467,535.151,452.413,180.516
467.5,532.537,449.798,184.453
468,529.862,447.123,188.366
468.5,527.129,444.39,192.256
469,524.337,441.599,196.122
469.5,521.489,438.75,199.963
470,518.584,435.846,203.78
470.5,515.625,432.886,207.57
471,512.611,429.873,211.335
471.5,509.545,426.806,215.073
472,506.426,423.688,218.784
472.5,503.257,420.518,222.467
473,500.038,417.299,226.123
473.5,496.77,414.032,229.75
474,493.455,410.717,233.349
474.5,490.094,407.356,236.918
475,486.688,403.949,240.458
475.5,483.238,400.499,243.968
476,479.745,397.006,247.448
476.5,476.21,393.472,250.897
477,472.636,389.897,254.315
477.5,469.022,386.283,257.702
478,465.371,382.632,261.057
478.5,461.683,378.944,264.38
479,457.959,375.221,267.671
479.5,454.202,371.463,270.929
480,450.412,367.673,274.154
480.5,446.59,363.851,277.346
481,442.738,359.999,280.504
481.5,438.857,356.118,283.629
482,434.948,352.209,286.719
482.5,431.012,348.274,289.776
483,427.051,344.313,292.798
483.5,423.066,340.328,295.785
484,419.059,336.32,298.738
484.5,415.029,332.29,301.655
485,410.979,328.241,304.537
485.5,406.91,324.172,307.384
486,402.823,320.084,310.195
486.5,398.719,315.98,312.97
487,394.599,311.861,315.71
487.5,390.465,307.727,318.413
488,386.318,303.579,321.08
488.5,382.158,299.419,323.712
489,377.987,295.248,326.306
489.5,373.806,291.067,328.865
490,369.616,286.877,331.386
490.5,365.418,282.68,333.871
491,361.214,278.475,336.32
491.5,357.003,274.265,338.732
492,352.788,270.05,341.107
492.5,348.569,265.831,343.445
493,344.348,261.609,345.746
493.5,340.124,257.386,348.011
494,335.9,253.161,350.239
494.5,331.675,248.937,352.429
495,327.452,244.713,354.583
495.5,323.231,240.492,356.7
496,319.012,236.273,358.781
496.5,314.796,232.058,360.824
497,310.585,227.847,362.831
497.5,306.379,223.641,364.801
498,302.179,219.441,366.734
498.5,297.986,215.247,368.631
499,293.8,211.061,370.491
499.5,289.622,206.883,372.315
500,285.453,202.714,374.102
500.5,281.293,198.554,375.853
501,277.143,194.405,377.567
501.5,273.004,190.266,379.246
502,268.876,186.138,380.888
502.5,264.76,182.021,382.495
503,260.656,177.918,384.065
503.5,256.565,173.827,385.6
504,252.487,169.749,387.099
504.5,248.424,165.685,388.563
505,244.374,161.635,389.991
505.5,240.339,157.6,391.384
506,236.319,153.58,392.742
506.5,232.314,149.576,394.064
507,228.326,145.587,395.352
507.5,224.353,141.614,396.605
508,220.396,137.658,397.824
508.5,216.457,133.718,399.008
509,212.534,129.795,400.158
509.5,208.628,125.89,401.273
510,204.74,122.002,402.355
510.5,200.87,118.131,403.403
511,197.017,114.278,404.417
511.5,193.182,110.443,405.397
512,189.365,106.626,406.345
512.5,185.566,102.827,407.258
513,181.785,99.0464,408.139
513.5,178.022,95.2839,408.987
514,174.278,91.5397,409.802
514.5,170.552,87.8137,410.585
515,166.845,84.1061,411.335
515.5,163.155,80.4168,412.053
516,159.484,76.7457,412.739
516.5,155.831,73.0928,413.393
517,152.197,69.458,414.015
517.5,148.58,65.8412,414.605
518,144.981,62.2424,415.164
518.5,141.4,58.6613,415.691
519,137.836,55.0978,416.188
519.5,134.29,51.5518,416.653
520,130.762,48.023,417.088
520.5,127.25,44.5113,417.491
521,123.755,41.0165,417.864
521.5,120.277,37.5383,418.207
522,116.815,34.0764,418.52
522.5,113.369,30.6307,418.802
523,109.939,27.2008,419.054
523.5,106.525,23.7865,419.277
524,103.126,20.3874,419.47
524.5,99.7418,17.0032,419.633
525,96.3722,13.6336,419.766
525.5,93.0169,10.2783,419.871
526,89.6755,6.93688,419.946
526.5,86.3475,3.60896,419.992
527,83.0328,0.294193,420.009
527.5,79.7308,-3.00783,419.997
528,76.4411,-6.2975,419.956
528.5,73.1634,-9.57523,419.887
529,69.8971,-12.8414,419.789
529.5,66.642,-16.0966,419.663
530,63.3975,-19.3411,419.509
530.5,60.1632,-22.5754,419.326
531,56.9386,-25.7999,419.115
531.5,53.7234,-29.0152,418.875
532,50.5169,-32.2217,418.608
532.5,47.3187,-35.4199,418.313
533,44.1283,-38.6103,417.99
533.5,40.9453,-41.7933,417.639
534,37.7691,-44.9695,417.261
534.5,34.5992,-48.1393,416.854
535,31.4352,-51.3034,416.42
535.5,28.2765,-54.4621,415.959
536,25.1225,-57.6161,415.47
536.5,21.9728,-60.7657,414.953
537,18.8269,-63.9117,414.409
537.5,15.6842,-67.0544,413.838
538,12.5441,-70.1945,413.239
538.5,9.40621,-73.3324,412.613
539,6.26991,-76.4687,411.959
539.5,3.13469,-79.6039,411.278
540,4.68478e-14,-82.7386,410.57
540.5,-2.2256,-84.9642,409.838
541,-4.45162,-87.1902,409.087
541.5,-6.67846,-89.417,408.316
542,-8.90653,-91.6451,407.526
542.5,-11.1363,-93.8748,406.717
543,-13.368,-96.1066,405.888
543.5,-15.6023,-98.3408,405.039
544,-17.8393,-100.578,404.171
544.5,-20.0797,-102.818,403.284
545,-22.3237,-105.062,402.377
545.5,-24.5718,-107.31,401.45
546,-26.8243,-109.563,400.504
546.5,-29.0816,-111.82,399.538
547,-31.3441,-114.083,398.552
547.5,-33.6122,-116.351,397.547
548,-35.8862,-118.625,396.522
548.5,-38.1665,-120.905,395.476
549,-40.4535,-123.192,394.411
549.5,-42.7475,-125.486,393.326
550,-45.0488,-127.787,392.221
550.5,-47.3577,-130.096,391.096
551,-49.6747,-132.413,389.951
551.5,-51.9999,-134.738,388.785
552,-54.3337,-137.072,387.599
552.5,-56.6764,-139.415,386.393
553,-59.0282,-141.767,385.166
553.5,-61.3895,-144.128,383.918
554,-63.7605,-146.499,382.65
554.5,-66.1414,-148.88,381.361
555,-68.5325,-151.271,380.052
555.5,-70.9339,-153.672,378.721
556,-73.346,-156.085,377.369
556.5,-75.7688,-158.507,375.997
557,-78.2027,-160.941,374.603
557.5,-80.6476,-163.386,373.188
558,-83.1039,-165.842,371.751
558.5,-85.5716,-168.31,370.293
559,-88.0508,-170.789,368.814
559.5,-90.5417,-173.28,367.312
560,-93.0444,-175.783,365.789
560.5,-95.5588,-178.297,364.244
561,-98.0852,-180.824,362.677
561.5,-100.623,-183.362,361.088
562,-103.174,-185.912,359.477
562.5,-105.736,-188.474,357.843
563,-108.31,-191.048,356.187
563.5,-110.896,-193.634,354.509
564,-113.493,-196.232,352.808
564.5,-116.103,-198.842,351.084
565,-118.724,-201.463,349.337
565.5,-121.357,-204.095,347.568
566,-124.001,-206.74,345.775
566.5,-126.656,-209.395,343.959
567,-129.323,-212.061,342.12
567.5,-132,-214.739,340.258
568,-134.688,-217.427,338.373
568.5,-137.387,-220.125,336.463
569,-140.095,-222.834,334.531
569.5,-142.814,-225.552,332.574
570,-145.542,-228.28,330.594
570.5,-148.279,-231.018,328.59
571,-151.025,-233.764,326.562
571.5,-153.78,-236.518,324.51
572,-156.542,-239.281,322.434
572.5,-159.313,-242.051,320.334
573,-162.09,-244.829,318.209
573.5,-164.874,-247.613,316.061
574,-167.665,-250.404,313.887
574.5,-170.461,-253.2,311.69
575,-173.262,-256.001,309.468
575.5,-176.068,-258.807,307.222
576,-178.878,-261.617,304.951
576.5,-181.691,-264.43,302.656
577,-184.507,-267.246,300.336
577.5,-187.325,-270.064,297.992
578,-190.144,-272.883,295.623
578.5,-192.964,-275.703,293.229
579,-195.784,-278.522,290.811
579.5,-198.602,-281.341,288.368
580,-201.419,-284.158,285.9
580.5,-204.233,-286.972,283.408
581,-207.044,-289.783,280.892
581.5,-209.851,-292.589,278.351
582,-212.652,-295.391,275.785
582.5,-215.447,-298.186,273.195
583,-218.235,-300.974,270.581
583.5,-221.015,-303.754,267.942
584,-223.786,-306.524,265.279
584.5,-226.547,-309.285,262.592
585,-229.296,-312.035,259.881
585.5,-232.033,-314.772,257.146
586,-234.757,-317.496,254.388
586.5,-237.467,-320.205,251.605
587,-240.16,-322.899,248.799
587.5,-242.837,-325.576,245.97
588,-245.496,-328.235,243.117
588.5,-248.136,-330.875,240.241
589,-250.756,-333.494,237.342
589.5,-253.353,-336.092,234.42
590,-255.928,-338.667,231.476
590.5,-258.478,-341.217,228.51
591,-261.003,-343.742,225.521
591.5,-263.501,-346.24,222.51
592,-265.971,-348.71,219.478
592.5,-268.411,-351.15,216.424
593,-270.82,-353.559,213.349
593.5,-273.197,-355.936,210.254
594,-275.54,-358.278,207.137
594.5,-277.847,-360.586,204.001
595,-280.118,-362.857,200.844
595.5,-282.351,-365.09,197.668
596,-284.544,-367.283,194.472
596.5,-286.696,-369.435,191.258
597,-288.805,-371.544,188.025
597.5,-290.871,-373.609,184.773
598,-292.89,-375.629,181.504
598.5,-294.863,-377.601,178.217
599,-296.786,-379.525,174.914
599.5,-298.66,-381.398,171.594
600,-300.482,-383.22,168.257
600.5,-302.25,-384.989,164.906
601,-303.964,-386.702,161.538
601.5,-305.621,-388.359,158.157
602,-307.22,-389.958,154.76
602.5,-308.76,-391.498,151.351
603,-310.238,-392.977,147.928
603.5,-311.654,-394.393,144.492
604,-313.006,-395.744,141.045
604.5,-314.292,-397.031,137.586
605,-315.511,-398.249,134.115
605.5,-316.661,-399.399,130.635
606,-317.741,-400.479,127.145
606.5,-318.749,-401.487,123.646
607,-319.683,-402.422,120.138
607.5,-320.543,-403.282,116.622
608,-321.327,-404.065,113.1
608.5,-322.033,-404.771,109.571
609,-322.659,-405.398,106.035
609.5,-323.206,-405.944,102.495
610,-323.67,-406.408,98.9508
610.5,-324.05,-406.789,95.4025
611,-324.347,-407.085,91.8513
611.5,-324.557,-407.295,88.2979
612,-324.679,-407.418,84.7431
612.5,-324.713,-407.452,81.1875
613,-324.657,-407.395,77.6321
613.5,-324.51,-407.248,74.0775
614,-324.27,-407.009,70.5247
614.5,-323.937,-406.675,66.9743
615,-323.509,-406.247,63.4273
615.5,-322.985,-405.724,59.8844
616,-322.365,-405.103,56.3465
616.5,-321.646,-404.385,52.8144
617,-320.829,-403.567,49.2891
617.5,-319.911,-402.65,45.7713
618,-318.893,-401.632,42.2619
618.5,-317.774,-400.512,38.7619
619,-316.552,-399.29,35.2721
619.5,-315.226,-397.965,31.7934
620,-313.797,-396.535,28.3268
620.5,-312.263,-395.001,24.873
621,-310.623,-393.362,21.4332
621.5,-308.878,-391.617,18.008
622,-307.026,-389.765,14.5986
622.5,-305.068,-387.806,11.2058
623,-303.002,-385.74,7.8306
623.5,-300.828,-383.567,4.47386
624,-298.546,-381.285,1.13657
624.5,-296.156,-378.895,-2.18034
625,-293.658,-376.396,-5.47592
625.5,-291.05,-373.789,-8.74922
626,-288.335,-371.073,-11.9993
626.5,-285.51,-368.248,-15.2252
627,-282.576,-365.315,-18.426
627.5,-279.534,-362.273,-21.6007
628,-276.384,-359.123,-24.7483
628.5,-273.125,-355.864,-27.8681
629,-269.759,-352.497,-30.9589
629.5,-266.285,-349.023,-34.0198
630,-262.703,-345.442,-37.05
630.5,-259.016,-341.754,-40.0485
631,-255.222,-337.96,-43.0143
631.5,-251.323,-334.061,-45.9465
632,-247.319,-330.057,-48.8443
632.5,-243.211,-325.95,-51.7067
633,-239,-321.739,-54.5327
633.5,-234.687,-317.426,-57.3216
634,-230.273,-313.012,-60.0724
634.5,-225.759,-308.498,-62.7843
635,-221.146,-303.885,-65.4563
635.5,-216.435,-299.174,-68.0876
636,-211.628,-294.367,-70.6774
636.5,-206.726,-289.464,-73.2249
637,-201.73,-284.468,-75.7291
637.5,-196.641,-279.38,-78.1894
638,-191.462,-274.201,-80.6048
638.5,-186.195,-268.933,-82.9747
639,-180.839,-263.578,-85.2982
639.5,-175.399,-258.137,-87.5746
640,-169.875,-252.613,-89.8032
640.5,-164.269,-247.007,-91.9832
641,-158.583,-241.321,-94.114
641.5,-152.819,-235.558,-96.1947
642,-146.98,-229.719,-98.2249
642.5,-141.068,-223.807,-100.204
643,-135.084,-217.823,-102.131
643.5,-129.032,-211.771,-104.005
644,-122.913,-205.652,-105.827
644.5,-116.731,-199.469,-107.594
645,-110.486,-193.225,-109.308
645.5,-104.183,-186.922,-110.966
646,-97.8241,-180.563,-112.57
646.5,-91.4113,-174.15,-114.118
647,-84.9477,-167.686,-115.609
647.5,-78.4361,-161.175,-117.044
648,-71.8793,-154.618,-118.422
648.5,-65.2804,-148.019,-119.742
649,-58.6422,-141.381,-121.005
649.5,-51.9678,-134.706,-122.21
650,-45.2602,-127.999,-123.356
650.5,-38.5227,-121.261,-124.444
651,-31.7582,-114.497,-125.472
651.5,-24.9701,-107.709,-126.442
652,-18.1615,-100.9,-127.352
652.5,-11.3358,-94.0744,-128.203
653,-4.49634,-87.2349,-128.994
653.5,2.35361,-80.385,-129.725
654,9.21062,-73.528,-130.397
654.5,16.0713,-66.6673,-131.009
655,22.9321,-59.8065,-131.561
655.5,29.7896,-52.949,-132.053
656,36.6403,-46.0983,-132.485
656.5,43.4807,-39.2579,-132.857
657,50.3072,-32.4314,-133.17
657.5,57.1162,-25.6224,-133.423
658,63.9041,-18.8344,-133.617
658.5,70.6675,-12.0711,-133.752
659,77.4025,-5.33603,-133.828
659.5,84.1057,1.36717,-133.845
660,90.7734,8.03487,-133.804
660.5,97.402,14.6634,-133.705
661,103.988,21.2493,-133.549
661.5,110.527,27.7887,-133.335
662,117.017,34.2781,-133.064
662.5,123.453,40.714,-132.737
663,129.831,47.0925,-132.353
663.5,136.149,53.4103,-131.915
664,142.402,59.6636,-131.422
664.5,148.588,65.849,-130.874
665,154.701,71.9628,-130.273
665.5,160.74,78.0016,-129.618
666,166.7,83.9618,-128.912
666.5,172.579,89.84,-128.153
667,178.371,95.6328,-127.344
667.5,184.075,101.337,-126.484
668,189.687,106.948,-125.576
668.5,195.203,112.464,-124.618
669,200.62,117.881,-123.613
669.5,205.935,123.196,-122.561
670,211.145,128.406,-121.463
670.5,216.246,133.507,-120.321
671,221.235,138.497,-119.134
671.5,226.11,143.371,-117.904
672,230.867,148.128,-116.632
672.5,235.503,152.765,-115.319
673,240.016,157.278,-113.966
673.5,244.403,161.664,-112.575
674,248.66,165.922,-111.145
674.5,252.786,170.047,-109.679
675,256.777,174.038,-108.178
675.5,260.631,177.892,-106.642
676,264.345,181.607,-105.074
676.5,267.918,185.179,-103.473
677,271.346,188.608,-101.842
677.5,274.628,191.89,-100.182
678,277.761,195.023,-98.494
678.5,280.744,198.005,-96.7791
679,283.573,200.834,-95.0388
679.5,286.248,203.509,-93.2746
680,288.766,206.027,-91.4876
680.5,291.126,208.387,-89.6794
681,293.325,210.587,-87.8513
681.5,295.364,212.625,-86.0047
682,297.239,214.5,-84.141
682.5,298.949,216.211,-82.2617
683,300.494,217.756,-80.3681
683.5,301.872,219.134,-78.4618
684,303.082,220.344,-76.5442
684.5,304.123,221.385,-74.6168
685,304.994,222.256,-72.6811
685.5,305.695,222.956,-70.7385
686,306.224,223.485,-68.7905
686.5,306.581,223.842,-66.8387
687,306.765,224.027,-64.8845
687.5,306.777,224.038,-62.9294
688,306.616,223.877,-60.975
688.5,306.281,223.542,-59.0228
689,305.773,223.034,-57.0742
689.5,305.091,222.353,-55.1309
690,304.236,221.498,-53.1942
690.5,303.209,220.47,-51.2658
691,302.008,219.27,-49.347
691.5,300.636,217.897,-47.4395
692,299.092,216.353,-45.5448
692.5,297.377,214.638,-43.6642
693,295.492,212.753,-41.7994
693.5,293.437,210.699,-39.9517
694,291.215,208.476,-38.1227
694.5,288.825,206.086,-36.3138
695,286.269,203.531,-34.5265
695.5,283.549,200.81,-32.7623
696,280.665,197.926,-31.0225
696.5,277.619,194.88,-29.3085
697,274.413,191.675,-27.6219
697.5,271.049,188.31,-25.9639
698,267.528,184.789,-24.3359
698.5,263.852,181.113,-22.7394
699,260.023,177.285,-21.1755
699.5,256.044,173.305,-19.6458
700,251.916,169.177,-18.1514
700.5,247.642,164.903,-16.6937
701,243.224,160.485,-15.274
701.5,238.664,155.926,-13.8934
702,233.966,151.227,-12.5532
702.5,229.131,146.393,-11.2546
703,224.163,141.425,-9.99871
703.5,219.065,136.326,-8.78679
704,213.838,131.1,-7.61993
704.5,208.487,125.748,-6.49921
705,203.014,120.275,-5.42573
705.5,197.422,114.684,-4.40053
706,191.715,108.977,-3.42463
706.5,185.896,103.158,-2.49901
707,179.968,97.2296,-1.62466
707.5,173.935,91.1962,-0.802499
708,167.8,85.061,-0.0334316
708.5,161.566,78.8274,0.681666
709,155.238,72.4991,1.34195
709.5,148.818,66.0798,1.94662
710,142.312,59.5732,2.49488
710.5,135.722,52.983,2.986
711,129.052,46.3132,3.41926
711.5,122.306,39.5675,3.79399
712,115.489,32.75,4.10953
712.5,108.603,25.8647,4.36529
713,101.654,18.9155,4.56068
713.5,94.6452,11.9066,4.69516
714,87.5806,4.842,4.76824
714.5,80.4645,-2.27411,4.77945
715,73.301,-9.43756,4.72835
715.5,66.0945,-16.6441,4.61454
716,58.849,-23.8896,4.43768
716.5,51.5689,-31.1697,4.19744
717,44.2584,-38.4802,3.89354
717.5,36.9219,-45.8167,3.52572
718,29.5636,-53.1749,3.09379
718.5,22.188,-60.5506,2.59757
719,14.7992,-67.9393,2.03692
719.5,7.4018,-75.3368,1.41176
720,-0,-82.7386,0.72203
